term_clean,description
가족상해보험,"상해보험의 보통 보험약관에 특약으로 보험가입되는 것이 상례로, 본인과 생계를 함께 하는 친족이 포함된다. 또한 보험대상자(피보험자)를 부부로 한정할수도 있다.
상해보험의 보통보 험약관에 특약으로 보험가입되는 것이 상례로, 본인과 생계를 함께 하는 친족이 포함된다. 또한 피보험자를 부부로 한정할수도 있다.
상해보험의 보통보험약관에 특약으로 보험가입되는 것이 상례로, 본인과 생계를 함께 하는 친족이 포함된다. 또한 피보험자를 부부로 한정할 수도 있다."
가족운전자,"① 기명피보험자의 부모와 양부모, 계부모 ② 기명피보험자의 배우자의 부모 또는 양부모, 계부모 ③ 법률상 배우자 또는 사실혼관계에 있는 배우자 ④ 법률상의 혼인관계에서 출생한 자녀, 사실혼관계에서 출생한 자녀, 양자 또는 양녀, 계자녀 ⑤ 기명피보험자의 며느리 또는 사위(계자녀의 배우자 포함)"
가족운전자 한정 운전특약,"피보험자동차(被保險自動車)를 운전하는 사람의 범위를 기명피보험자(記名被保險) 와 그 부모, 배우자 및 자녀로 한정하여 위험을 축소함으로써 보험료를 할인하는 방식이다. 이 특약(特約)을 맺으면, 한정된 운전자 이외의 사람이 운전하다가 사고를 일으켰을 경우에 보험금은 지급되지 않는 대신 보험료가 저렴해진다."
가지급금보험금,"자동차 사고 피해자에 대한 의료비 등과 같이 급히 소요되는 비용을 충당하기 위하여, 보상책임이 있을 경우 보험금이 확정되기 전이라도 지급할 보험금의 범위내에서 손해배상액의 일부를 손해배상 청구권자에게 미리 지급해주는 보험금"
가지급보험금,"자동차 사고의 피해자에 대한 의료비 등과 같이 급히 소요되는 비용을 충당하기 위해서, 손해배상책임이 확정되기 전이라도 손해배상액의 일부를 손해배상 청구권자에게 미리 지급해 주는 보험금을 말한다."
가해자가 확정된 사고,"피보험자동차에 정착되어 있는 타이어나 튜브를 훼손하거나 파손한 사고로, 경찰관서를 통하여 가해자(기명피보험자 및 기명피보험자의 부모, 배우자, 자녀는 제외)의 신원이 확인된 사고"
가해자불명 자기차량손해사고,주차가 허용된 장소에 주차중 발생한 관리상 과실이 없는 자기차량손해사고
간이생명표,"인구조사는 수년의 간격을 두고 행해지며 그 결과의 정리에도 시간이 걸리므로 완전생명표로서의 국민사망표는 최신의 사망 변화를 표시할 수 없다. 그러므로 매년 실시되는 인구 동태 통계의 사망수를 분자로 하고 최근의 조사에서 얻어지는 확정인구를 분모로 하여 얻어지는 생명표를 근사치로 작성한 것을 간이생명표라 한다.
국세조사는 수년의 간격을 두고 행해지며 그 결과의 정리에도 시간이 걸리므로 완전생명표로서의 국민사망표는 최신의 사망변화를 표시할 수 없다. 그러므로 매년 실시되는 인구동태 통계의 사망수를 분자로 하고 최근의 국세조사에서 얻어지는 확정인구를 분모로 하여 얻어지는 생명표를 근사치로 작성한 것을 간이생명표라 한다."
개인대부 신용보험,금융기관(보험계약자)과 자연인간의 비사업성 자금에 대하여 대부계약에 의뢰한 채무를 채무자(자연인)가 이행하지 않는 경우에 채권자(금융기관)가 입은 손해를 보상하는 보험.
개인보험,보험계약의 대상이 하나의 보험계약자인 경우의 보험
개인용 자동차 종합보험,"개인소유 자가용 승용차(법정승차정원10인 이하)를 대상으로 하는 자동차보험으로서, 가정용·출퇴근용 및 개인사업용 승용차가 여기에 해당된다. 이 보험에서 보상하는 손해는 피보험자동차의 운행으로 인한 대인배상·대물배상·자손사고·차량손해의 네 가지이며 보험계약자가 각각 선택적으로 부보할 수 있다. 이 보험의 피보험자는 기명·친족·허락사용자가 피보험자가 되며, 가족운전 한정(限定)계약을 첨부하는 경우는 한정된 가족만 부보가 된다."
개인용자동차보험,→자동차 등록원부상의 소유자가 개인(자연인 및 개인사업자)인 자가용승용차를 대상으로 하는 자동차보험.
개호관련특정특병,"뇌출혈, 크로이츠펠트-야콥병, 파킨스병, 알쯔하이머병, 근위축성측삭경화증(루게릭병), 전신형 중증근무력증"
개호보험,→수발보험
갱신,종전 보험계약의 만기때 원칙적으로 본래의 보험계약과 동일한 내용·조건(보험기간은 제외)을 가지고 새로운 보험계약을 체결하는 것을 말한다. 이 경우에는 새로운 보험증권이 발행된다.
거절체계약,표준체계약에 비해 보험사고의 발생위험 정도가 너무 높거나 위험정도가 측정 불가능해 보험계약이 성립할 수 없는 계약을 말한다.
건강보험,"건강의 손상에 따른 경제적 손실을 보상하는 보험이라고 할 수 있다. 건강관련위험에는 상해,질병 등이 있으며, 이는 발생시기뿐만 아니라 발생여부도 불확정적이다."
경험생명표,보험가입자를 대상으로 작성된 생명표
계부모,계부(어머니가 재혼함으로써 생긴 아버지)와 계모(아버지가 재혼함으로써 생긴 어머니)
계속보험료,제1회 보험료 납입후 만기시까지 계속적으로 납입하는 보험료를 말한다.
계약수수료,보험설계사가 보험계약을 모집했을때 지급받는 보수를 말한다.
계약응당일,"제2차년도 이후 매년의 계약일과 동일한 월,일을 말한다. 계약응당일은 보험료 납입기일, 계약의 효력 상실 및 부활, 계약전 알릴의무, 보험자의 면책조항 등 보험계약에 부수하는 기일, 기간을 결정하는데 중요하다.
제2차년도 이후 매년의 계약일과 동일한 월, 일을 말하지만 경우에 따라서는 매월의 계약일과 동일한 날을 말하는 경우도 있다. 계약해당일은 보험료납입기일, 계악의 효력상실 및 부활, 계약전 알릴 의무, 보험자 면책조항 기타 계약만기일 등 보험계약에 부수하는 기일, 기간을 결정하는데 있어 대단히 중요하다. 특히 제2회 이후 보험료 납입기일과의 관계는 밀접하여 계약에 정하여진 방법에 의해 매1년, 매6개월 후, 매3개월 후, 매월의 계약해당일이 납입기일이 된다."
계약자대출,"보험기간 중 계약자가 일시에 목돈이 필요한 경우에 목돈마련의 수단으로 계약을 해약하여 해약환급금을 이용할 수도 있지만 계약을 해약하게 되면 보장이 소멸해 버릴 뿐만 아니라 납입한 보험료보다 그 액수가 작아지기 때문에 계약자에게 불리하다. 이러한 경우 계약을 그대로 유지하면서 계약자의 자금조달을 가능하게 하기 위해서는 계약자 대출을 이용하면 되는데 계약자 대출은 그 계약의 해약환급금 중 일정비율 내에서 언제든지 가능하며, 대출기간 중에는 계약자대출에 따른 이자를 납입하면 된다."
계약전 알릴 의무,"계약전 알려야 할 사항이라고도 한다. 계약 전에 계약자가 보험사에 알려야 할 중요한 사실 또는 사항을 말한다. 무엇이 중요한 사실 또는 사항인가는 보험의 종류에 따라 한결같지 않으나, 보험자가 그 사정을 알았다면 계약을 체결하지 않았거나, 적어도 동일한 조건으로는 계약을 체결하지 않았을 것으로 객관적으로 인정되는 사정(예: 피보험자의 현재의 건강상태, 과거의 병력(病歷), 현재의 직업 등)을 의미한다."
계약해당일,"제2차년도 이후 매년의 계약일과 동일한 월, 일을 말하지만 경우에 따라서는 매월의 계약일과 동일한 날을 말하는 경우도 있다. 계약해당일은 보험료납입기일, 계약의 효력상실 및 부활, 계약전 알릴 의무, 보험자 면책조항, 기타 계약만기일 등 보험계약에 부수하는 기일, 기간을 결정하는데 있어 대단히 중요하다. 특히 제2회이후 보험료 납입기일과의 관계는 밀접하여 계약에 정하여진 납입방법에 의해 매1년, 매6개월후, 매3개월후, 매월의 계약해당일이 납입기일이 된다. 계약응당일이라고도 한다. 계약후 알릴 의무 통지 의무"
계자녀,배우자의 자녀로서 자기(自己)의 친자식(양자)이 아닌 자녀
고속도로통행료 단말기,고속도로 통행료 등의 지급을 이해 고속도로 요금소와 통행료 등에 관한 정보를 주고받는 송수신장치(하이패스 단말기)
고의,일정한 결과가 발생하리라는 것을 알면서도 의도적으로 이를 행하는 심리상태 [참고] 미필적고의 : 결과 발생 자체는 불확실하나 만일의 경우 결과가 발생할지도 모른다고 인정하면서도 그러한 결과의 발생을 부득이하다고 용인하는 심리상태
고지사항,"계약전 알려야 할 사항이라고도 한다. 계약 전에 계약자가 보험사에 알려야 할 중요한 사실 또는 사항을 말한다. 무엇이 중요한 사실 또는 사항인가는 보험의 종류에 따라 한결같지 않으나, 보험자가 그 사정을 알았다면 계약을 체결하지 않았거나, 적어도 동일한 조건으로는 계약을 체결하지 않았을 것으로 객관적으로 인정되는 사정(예: 피보험자의 현재의 건강상태, 과거의 병력(病歷), 현재의 직업 등)을 의미한다."
고지의무,"계약전 알릴 의무라고도 한다. 현행 약관에서는 X계약 전 알릴 의무〉라고 쉽게 표현하고 있다. 보험제도의 적정한 운영을 위하여 보험자는 각 계약에 대해서 그 위험률을 측정하여 위험을 인수할 것인가 아닌가, 그리고 그 보험료를 얼마로 할 것인가를 결정한다. 그러므로 보험계약자 또는 피보험자는 계약체결시에 보험자에 대해서 중요한 사실을 알리고 또 중요한 사항에 관하여 부실하게 알려서는 안 될 의무를 진다. 이것을 X고지의무〉라고 하는데, 보험계약자가 이를 위반했을 때에는 보험자는 일정한 요건 아래 계약을 해지할 수 있게 되어 있다.
계약전 알릴 의무라고도 한다. 현행 약관에서는 계약 전 알릴 의무라고 쉽게 표현하고 있다. 보험제도의 적정한 운영을 위하여 보험자는 각 계약에 대해서 그 위험률을 측정하여 위험을 인수할 것인가 아닌가, 그리고 그 보험료를 얼마로 할 것인가를 결정한다. 그러므로 보험계약자 또는 피보험자는 계약체결시에 보험자에 대해서 중요한 사실을 알리고 또 중요한 사항에 관하여 부실하게 알려서는 안된다."
공소,검사가 법원에 특정 형사 사건의 재판을 청구함
공영보험,국가에서 공공정책상의 목적을 달성하기 위하여 마련되어 있는 보험을 말한다.
공인인증 전자서명,고객이 서명양식을 홈페이지에서 확인하고 공인인증서를 이용하여 서명을 할 수 있는 시스템
공탁,법령의 규정에 따라 금전이나 유가 증권 따위를 공탁소에 맡겨 놓는 일
공탁확인서,법원에서 공탁사실 확인을 위하여 발급하는 서류
광폭타이어,공기압이 40∼80kpa(0.4∼0.8kgf/㎠) 정도인 폭이 넓고 부드러운 타이어로 접지압이 낮아 연약지 포장에 적합
교통법규위반경력요율,"피보험자의 과거 교통법규위반(신호위반, 중앙선침범 등)실적을 기준으로 보험료를 차등하는 제도"
교통사고 사실확인원,경찰서에서 교통사고 발생 사실 확인을 위하여 발급하는 서류
교통사고 처리특례법,"교통사고로 인한 피해의 신속한 회복을 촉진하고 국민생활의 편익을 증진할 목적으로, 차의 운전자가 『형법』 제268조의 죄를 범한 경우 운전자에 관한 형사처벌 등의 특례를 정한 법"
교환가액,수리비용이 피해물의 사고 직전의 가액을 초과하는 경우와 원상회복이 불가능한 경우 사고 직전 피해물의 가액상당액 또는 사고 직전의 피해물과 동종의 대용품의 가액과 이를 교환하는데 실제로 소요된 필요타당한 비용
그린카드 시스템,구주에서는 국경을 넘어서 자동차를 운행할 때 타국의 강제보험을 그때마다 부보하지 않더라도 보험계약자에게 타국의 법정배상책임액 까지는 보증하는 제도가 실시되고 있다. 이 제도를 그린카드 시스템이라고 한다.
글래스아이오노머,주로 치경부 마모증에 사용되는 것으로 산 부식처리가 필요없는 화학접착물
금융기관대리점,"인적, 자본적 또는 업무 운영상 특정금융기관(은행 등)과 밀접한 관계에 있는 대리점을 말한다."
급격하고 우연한 외래의 사고,"상해보험에 있어서 보험금의 지급대상이 되는 상해는 급격하고 우연한 외래의 사고에 의한 것이어야 한다. 여기에서 급격이란, 원인이 된 <사고>로부터 결과인 <상해>까지에 시간적 간격이 급격한 것을 말하고, 우연이란 예측되지 않은 것을 말하며, 사고의 발생, 결과의 발생이 양쪽 또는 어느 한쪽이 우연하여야 할 필요가 있다. 외래란 상해가 피보험자의 신체의 외부로부터 작용하는 것을 말한다."
급여인상율,"호봉, 직급 등의 상승에 의한 급여인상율인 승급률 이외에 물가상승 등을 반영하는 급여인상율."
기간보험,보험의 목적울을 일정기간에 대하여 가입하는 보험계약인 경우에는 그 보험증권을 기간보험증권이라 칭함.
기계보험,"공장, 작업장, 사무실 등에서 가동하고 있는 기계, 기계설비・장치가 손상을 입는 사고에는 기계의 설계・재질(材質)・제작 등에 잠재적인 결함이 있었거나, 운전자의 잘못된 조작이나 과실 그밖에 외부로부터의 원인에 의한 것이 있다. 이 보험은 이러한 예측하지 못했던 돌발적인 사고로 인한 손상을 원상의 가동 가능한 상태로 고치는데 필요한 비용을 지급하는 보험이다. 보험금액은 같은 종류, 같은 능력의 기계의 재조달가액(再調達價額)을 기준으로 책정한다."
기납입보험료,보험계약자가 보험계약 체결 이후 현재시점까지 납입한 보험료의 합계를 말한다.
기명피보험자,"자동차보험에 있어서 피보험자의 범위는 보험의 효용을 높이기 위하여 일정한 한도로 확대되어 있다. 기명피보험자(記名被保險者)란 그러한 피보험자 중 핵심이 되는 사람으로 보험증권의 피보험자란에 기재된 사람을 말한다. 기명피보험자는 피보험자동차의 소유자나 할부에 의한 매수인과 같이, 타인에 대해서 피보험자동차의 사용을 승락하는 권한을 가지고 있는 사람(피보험자동차를 사실상 마음대로 지배하고 사용하고 있는 사람)이 아니면 안 된다.
자동차보험에 있어서 피보험자의 범위는 보험의 효용을 높이기 위하여 일정한 한도로 확대되어 있다. 기명피보험자란 그러한 피보험자 중 핵심이 되는 사람으로 보험증권의 피보험자란에 기재된 사람을 말한다. 기명피보험자는 피보험자동차의 소유자나 할부에 의한 매수인과 같이, 타인에 대해서 피보험자동차의 사용을 승락하는 권한을 가지고 있는 사람(피보험자동차를 사실상 마음대로 지배하고 사용하고 있는 증권상의 피보험자)"
기본보험료,"보험계약 체결시 적용보험료 산정의 기본이 되는 보험료 차량의 종유, 배기량, 용도, 보험가이금액, 성별, 연령등에 따라 미리 정해놓은 기본적인 보험료"
기산일,가입날수를 계산할 때 첫날로 잡는 날
기왕력자,현재까지 질병이나 외상 등으로 인한 의료행위를 받은 경험이 있는 사람
기왕증,당해 자동차사고가 있기 전에 이미 가지고 있던 증상
기준병실,병원에서 국민건강보험 환자의 입원시 적용하는 기준이 되는 병실
기준병실병실차액,"의료법령에 따라 허가를 받거나 신고한 병상 중 기본입원료만 산정하는 일반병상을 기준병실이라 하며, 1개의 입원실에 6인이상이 입원하는 병실을 말함. 1개의 입원실에 5인 이하가 입원할 수 있는 병상을 상급병상이라 하며, 이에 따라 기본입원료 외에 추가로 부담하는 입원실 이용비용을 병실차액 혹은 상급병실 이용료라 칭함."
기타 보장성보험,만기시 기납입보험료를 돌려주는 보험
나눔특약,"친서민 자동차보험으로 기초생활보장수급자, 생계형 중고소형차 차주 등 가입대상일 경우 보험료 할인"
낙성계약성,보험계약은 보험자와 보험계약자 사이에 합의가 이루어지면 효력이 생기고 보험계약의 성립요건으로 보험증권(보험가입증서)등의 작성을 요구하고 있지 않으므로 보험계약은 불요식의 낙성계약이다.
납입유예기간,보험료가 납입되지 않은 채 그 계약의 효력이 존속하는 기간을 납입유예기간이라 한다. 따라서 일정기간이 지나서 보험료를 납입하면 그 계약은 유효하다. 그 기간은 보험료 납입일이 속한 해당월과 그 이 후 1달간이다.
내용년수,"취득한 차량이 보통의 상태와 조건하에서 폐물로서 처분, 파기될 때까지 유용하게 사용할 수 있는 추산기간 또는 추정연한"
내용증명,어떤 내용의 것을 언제 누가 누구에게 발송하였는가 하는 사실을 발송인이 작성한 등본에 의하여 우체국장이 공적인 입장에서 증명하는 제도
노령화사회,"노령화사회란 노령인구의 절대수가 증가되고 반대로 비노령인구가 증가되지 않거나 감소되는 것을 말하며, 그 결과 전인구대비 노령인구가 점유하는 비율이 높아져 가는 사회를 말한다. 유엔은 65세이상 인구가 총 인구의 7%이상이면 노령화사회라고 분류하고 있는데, 2000년 인구주택총조사에 의하면 우리나라의 노령인구비율은 7.3%이다. 따라서 UN 기준에 따르면 우리나라는 이미 노령화사회에 진입해 있다고 할 수 있다."
노령화지수,"노령화지수란 총인구 중 65세 이상의 인구가 점하는 비율을 말하는데, 노령화지수가 7%를 넘으면 노령화사회라고 하고, 14%를 넘으면 노령사회에 진입하였다고 말한다. 최근 선진국의 경우 인구의 노령화가 사회문제가 되고 있는데 우리나라도 근래에 출생률의 감소와 사망률의 저하로 인한 인구의 노령화가 급격히 진전되고 있다. 특히 선진국의 경우 비교적 장기간에 걸쳐 현재의 인구구성에 달한 것과 대조적으로 우리나라의 경우에는 인구의 노령화가 급격히 진전되고 있어 문제의 심각성이 더한 상태이다.
노령화지수란 0～14세 인구에 대한 65세이상 인구비율을 나타낸 것으로서 즉, 그 나라의 유년인구에 대비한 노령인구를 지수로 표시한 것을 말한다."
노무기여율,"사업소득을 얻음에 있어 본인의 노무 기여도를 측정한 비율을 말하며, 자동차보험 약관 지급기준 상 85/100를 한도로 타당한 율을 적용"
농업보험,"국영보험의 영역에 속하는 것으로서 국가가 농업정책상 실시하는 보험이다. 일반적으 로 풍수해, 천재등과 같은 자연재해에 의하여 농작물의 수확이 평균작에 미달하거나 전답이 유실되어 농가에서 입는 불의의 재난을 보호하는 것이 이보험의 취지이다."
뇌내출혈,"뇌실질조직 안쪽에 있는 가느다란 혈관들이 터지면서 뇌속으로 피가 고여 뇌가 손상되는 것을 말한다. 뇌내출혈은 뇌출혈의 가능 흔한 형태이기 때문에 그냥 뇌출혈 이라고 부른다. 혈압이 높은 사람들의 경우, 혈관기형이 있는 경우 출혈이 잘 일어날 수 있다."
다른사람,운행자와 운전자(운전보조자)를 제외한 모든 자
다인승승용차,법정승차정원 7인 이상 10인 이하의 승용차
단기납,보험료 납입기간이 보장기간보다 짧은 형태의 납입형태 (예:20년납 100세만기)
단기요율,"보험기간이 1년 미만의 단기계약에 적용되는 요율. 요율은 1년간을 하나의 단위로 해서 산출되지만, 이를테면 계절에 따라 위험도를 달리하는 물건은 가장 위험도가 높은 기간동안만 부보(付保)하려는 경향이 생기기 쉽다는 이유도 있어서, 단순비율에 의한 요율보다 높다."
단기운전자 확대배서,단기간 운전자/연령한정의 범위를 제한하지 않고 운전가능하게 확대하는 배서
단리,이자를 계산할 때 원금에 대해서만 일정한 시기에 약정한 이율을 적용하여 계산하는 금리 계산방법.
OBD단말기,자동차에 장착되어 자동차 운행 관련 다양한 정보를 알려주는 기기
당뇨병,"췌장에서의 인슐린생산의 부족, 또는 인슐린의 효율이 떨어져서 나타나는 당질대사의 장애이다. 공복시 혈당 140mg/dl 이상 또는 식후2시간 혈당 200mg/dl 이상인 경우, 당뇨병을 진단할 수 있다. 다음(多飮 polydipsia), 다뇨(多尿 polyuria), 다식(多食 ployphagia)의 증상이 특징적으로 나타나므로 3다(三多)의 질병이란 별명을 가지고 있다."
대물배상,"보험증권기재의 자동차(피보험자동차)의 소유・사용・관리에 기인해서 타인의 재물을 멸실・파손 또는 오손한 경우에, 피보험자가 부담, 지급해야 하는 법률상의 손해보상 책임."
대부금형식지급,"보험사고로 인한 손해에 대하여 피보험자가 제3자에 손해배상청구권을 가질 때 그 배상청구를 유리하게 하기 위하여, 또는 배상청구절차를 간소화하기 위하여, 보험자는 자기가 지급할 보험금에 상당하는 금액을 피보험자에게 대부하는 형식을 취하고, 그 지급보험금을 한도로 하여 그 배상청구가 대위에 의하여 보험자에게 이전하는 것을 고의로 피하는 일이 있다. 이와 같은 형식에 의한 실질적인 보험금의 지급을 대부금 형식지급이라고 한다."
대수의 법칙,"수학적 개념으로서 어떤 사상(事象)이 발생하는 확률은 그 시행횟수가 많을수록 이론적 확률치에 접근한다는 이론이다. 주사위를 굴려서 1점이 나오는 확률은 굴리는 회수를 늘리면 늘릴수록 6분의 1에 가까워진다. 즉, 어느 독립적으로 일어나는 사상(事象)에 있어서, 그것을 대량으로 관찰하면 어느 사상이 발생하는 확률이 일정치(一定値:이론적 수치)에 가까워진다는 것인데, 이것을 대수의 법칙이라고 한다. 보험분야에 있어서는 개개인의 우발적인 사고를 대량으로 관찰함으로써 얻은 확률로서, 그 발생률을 전체적으로 예측할 수 있게 된다. 보험료 산정의 기초수치의 하나인 보험사고의 발생률은 대수의 법칙에 입각한 통계적 확률인 것이다. 또한 대수의 법칙을 이용하여 인간의 사망율을 예측한 것을 기초로 생명표가 만들어진다.
주사위를 굴려서 1점이 나오는 확률은 굴리는 회수를 늘리면 늘릴수록 6분의 1에 가까워진다. 즉, 어느 독립적으로 일어나는 사상(事象)에 있어서, 그것을 대량으로 관찰하면 어느 사상이 발생하는 확률이 일정치(一定値:이론적 수치)에 가까워진다는 것인데, 이것을 대수의 법칙이라고 한다. 보험분야에 있어서는 개개인의 우발적인 사고를 대량으로 관찰함으로써 얻은 확률로서, 그 발생률을 전체적으로 예측할 수 있게 된다. 보험료 산정의 기초수치의 하나인 보험사고의 발생률은 대수의 법칙에 입각한 통계적 확률인 것이다."
대인배상책임,"배상책임보험에 있어서 보험대상자(피보험자)가 끼친 제3자의 신체에 대한 배상책임을 말하며, 영문약어로서는 B.J.로 표시된다. 대인배상은 1인당 책임한도와 매사고시의 책임한도를 동시에 책정하는 것이 일반적이다.
배상책임보험에 있어서 피보험자가 끼친 제3자의 신체에 대한 배상책임을 말하며, 영문약어로서는 B.J.로 표시된다. 대인배상은 1인당 책임한도와 매사고시의 책임한도를 동시에 책정하는 것이 일반적이다."
대포차,차량소유자와 기명피보험자가 불일치한 차량으로 차량의 보유여부 주체가 불문명한 차량
도덕적 위험,"실제 또는 현실적으로 관찰할 수 없지만 손실가능성을 유발 또는 증가시키는 개인의 주관적, 심리적, 정신적 특성을 말하는 것으로 피보험자(보험대상자), 보험계약자, 보험수익자(보험금을 받는자) 등이 고의적 또는 우발적으로 손실을 일으키거나 손실의 정도를 증가시키는 성향을 말한다."
동일증권,개인이 소유한 2대 이상의 차량을 보험기간의 종기를 일치시켜 하나의 증권으로 가입하는 것
로봇보험,"산업용 로봇을 대상으로 하는 보험으로서 로봇(기록 매체, 정보를 포함)이 예측하지 못한 돌발적인 사고로 인하여 입은 손해와 주변물건, 설비에 입힌 손해를 보상하는 보험이다. 기계보험의 범주에 속한다."
루프캐리어,부피가 커서 트렁크나 내부에 실을 수 없는 짐을 싣기 위해 차량의 지붕 위에 별도로 설치하는 장치
"리드, 리더, 리딩 언더라이터","보험금액이 큰 손해보험 계약에 있어서 복수의 보험자가 동일계약을 인수하는 경우가 많은데, 그 경우 요율・조건을 우선 처음 결정하는 역할을 맡는 것을 리드라고 하고, 그 역할을 맡은 보험자를 리더 또는 리딩 언더라이터라고 한다. 그 요율・조건에 따라서 인수하는 남은 보험자를 팔로워(Follower)라고 부른다."
리스,"리스사가 고객이 원하는 차량을 대신 구입하여 고객에게 일정기간 사용권을 부여하고, 리스료를 지불하는 임대차 계약"
리스자동차,여신전문금융업법에서 규정하는 시설대여업자와 대여시설 이용자간에 시설대여계약 체결에 따라 대여받아 사용 또는 관리중인 자동차
리어스포일러,차량 뒤쪽에서 일어나는 공기의 와류현상을 없애기 위해 자동차의 지붕 끝이나 트렁크 위에 장착하는 장식 겸용 장치
Eco Point 리워드 특약,"사고차량(대물,자차) 수리시 리싸이클 부품을 사용할 경우 Eco Point룰 적립·리워드 해주는 친환경 특약"
Eco마일리지특약,"연간 주행거리가 적은 자동차보험 계약의 보험료를 할인해주는 상품. 주행거리 확인방법은 계기판 사진 전송, OBD장치 장착 등을 통한 확인이 가능"
만기,"정해진 보험기간이 다 경과하여 끝난 때를 말한다
정해진 보험기간이 다 경과하여 끝난 때를 말한다."
만기보험금,"생존보험, 생사혼합보험의 경우, 보험계약 만기시에 피보험자(보험대상자)가 생존한 경우 지급하는 보험금을 말한다.
만기보험금은 피보험자가 만기까지 생존해 있다는 사실(보험사고)의 발생을 조건으로 한 생존보험금이라고 할 수 있다."
만기연령,"보험계약이 만료되는 시기에 있어서의 피보험자 연령을 만기연령이라 한다. 만기연령은 계약연령에 보험기간을 더하여 계산되며, 보험종류별 특성에 따라 상이하다.
보험계약이 만료되는 시기의 피보험자 연령을 만기연령이라 한다. 만기연령은 계약연령에 보험기간을 더하여 계산하며 통상 무진단보험의 만기연령은 만70세로 한다. 다만, 보험종류별 특성에 따라 정할 수도 있다."
만기예고,만기가 도래하는 전전월에 차량 보유자에게 자동차보험 만기일이 도래하는 것을 알리는 예고
만기표 소유권,"만기표라는 것은 보험계약의 만기일을 기재한 것으로 게약을 생신할 때 사용하는, 일종의 고객리스트라고도 할 수 있다. 만기표 소유권이라는 것은, 일차적으로는 이와같은 만기표라고 하는 물리적인 물건 자체의 소유권을 가리키지만 바꿔서 일반적으로는 보험기간만료에 즈음해서, 계속해서 그 계약을 체결할 수 있다는 기대권(일종의 재산권)을 말한다. 미국에서는 인정되고 있지만 우리나라는 이미 확립된 권리로서는 인정되고 있지 않다."
만기환급금,장기의 적립형보험에 있어서 보험기간이 만료될 때까지 일정규모 이상의 사고가 없는 경우 납입보험료중 일정률의 금액을 보험계약자에게 환급하는 제도이다. 환급금은 납입한 보험료에 포함된 적립보험료를 운용한 예정이자와 원리금의 합계액에 상당한다.
면책사유,"보험자는 보험계약에 의거해서, 보험사고가 발생하였을 경우에 보험금 지급의 의무를 지고 있지만 특정의 사유가 생겼을 때에는 예외로 그 의무를 면하게 되어 있다. 이것을 면책사유라고 하는데, 법률에 의해서 정해져 있는 것과 보험약관에 의해서 정해져 있는 것이 있다."
면책약관,"보험계약에서는 보험자가 책임이 면제되는 위험이나 사유에 관해서 약관에서 정하고 있다.이 조항을 면책약관이라고 한다.
보험계약에서는 보험자가 면책되는 위험이나 사유에 관해서 약관에서 정하고 있는데, 이 조항을 면책약관이라고 한다. 보통보험약관 안에 포함되어 있는 것과 특별약관으로 삽입되는 것이 있다."
