# https://rt.molit.go.kr/pt/xls/xls.do 국토교통부 실거래가 공개시스템
거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층,해제사유발생일,해제여부
126500,2008,2021, 견지동,대성스카이렉스,7,20,137.55,110,11110,6,-,-
31500,2003,2021, 익선동,현대뜨레비앙,7,12,48.54,55,11110,3,-,-
26800,2003,2021, 익선동,현대뜨레비앙,7,12,36.08,55,11110,8,-,-
30000,2003,2021, 익선동,현대뜨레비앙,7,19,43.98,55,11110,6,-,-
89000,2006,2021, 인의동,효성쥬얼리시티,7,12,84.64,48-2,11110,7,-,-
75000,1993,2021, 창신동,창신쌍용2,7,5,79.87,703,11110,2,-,-
70000,1993,2021, 창신동,창신쌍용2,7,10,64.66,703,11110,9,-,-
85000,1993,2021, 창신동,창신쌍용2,7,12,79.87,703,11110,7,-,-
84500,1993,2021, 창신동,창신쌍용2,7,16,79.87,703,11110,13,-,-
55900,1999,2021, 창신동,덕산,7,17,59.28,639-50,11110,4,-,-
69800,1993,2021, 창신동,창신쌍용2,7,25,54.7,703,11110,7,-,-
108500,1999,2021, 창신동,두산,7,26,84.9,232,11110,4,-,-
65500,1993,2021, 창신동,창신쌍용2,7,28,64.66,703,11110,3,-,-
30000,1997,2021, 숭인동,도시그린빌라,7,5,58.79,181-121,11110,1,-,-
10500,2013,2021, 숭인동,종로아인스빌,7,5,12.15,1392-1,11110,15,-,-
12000,2013,2021, 숭인동,종로동광모닝스카이,7,19,15.855,1421-1,11110,10,-,-
11500,2013,2021, 숭인동,종로동광모닝스카이,7,21,15.855,1421-1,11110,16,-,-
95000,2008,2021, 숭인동,종로센트레빌,7,28,59.92,2-1,11110,4,-,-
189000,2017,2021, 홍파동,경희궁자이(2단지),7,6,84.614,199,11110,2,-,-
194000,2017,2021, 홍파동,경희궁자이(2단지),7,13,84.944,199,11110,11,-,-
195000,2017,2021, 홍파동,경희궁자이(2단지),7,16,84.907,199,11110,21,-,-
164700,2017,2021, 홍파동,경희궁자이(2단지),7,22,59.855,199,11110,11,-,-
87000,2017,2021, 교북동,경희궁자이(4단지),7,3,37.2635,126,11110,8,-,-
119000,2017,2021, 교북동,경희궁자이(4단지),7,10,45.879,126,11110,18,-,-
85000,2017,2021, 교북동,경희궁자이(4단지),7,30,33.982,126,11110,7,-,-
46300,1971,2021, 행촌동,대성아파트,7,17,94.94,41-1,11110,7,-,-
14000,1971,2021, 행촌동,대성아파트,7,27,19.27,41-1,11110,1,-,-
58500,2019,2021, 구기동,마운틴뷰,7,3,66.13,125-5,11110,3,-,-
162500,2004,2021, 평창동,벽산블루밍평창힐스,7,8,186.9,45,11110,5,-,-
19000,1997,2021, 평창동,갑을,7,22,30.46,595,11110,13,-,-
50000,2004,2021, 부암동,부암스카이뷰,7,14,76.65,218-1,11110,2,-,-
49000,2004,2021, 부암동,부암스카이뷰,7,29,81.0,218-1,11110,1,-,-
139400,2008,2021, 무악동,인왕산아이파크,7,8,84.858,60,11110,5,-,-
125000,2000,2021, 무악동,현대,7,10,84.92,82,11110,14,-,-
140000,2019,2021, 무악동,경희궁 롯데캐슬,7,14,59.6737,89,11110,4,-,-
139950,2000,2021, 무악동,현대,7,31,114.9,82,11110,10,-,-
80000,2002,2021, 신교동,신현(101동),6,15,84.82,6-13,11110,1,-,-
175000,2004,2021, 내수동,킹스매너,6,14,201.82,110-15,11110,3,-,-
95000,2006,2021, 인의동,효성쥬얼리시티,6,13,92.81,48-2,11110,15,-,-
105000,2006,2021, 인의동,효성쥬얼리시티,6,25,106.81,48-2,11110,8,-,-
53000,1999,2021, 창신동,덕산,6,6,59.28,639-50,11110,5,-,-
74500,1992,2021, 창신동,창신쌍용1,6,12,54.7,702,11110,9,-,-
64400,1993,2021, 창신동,창신쌍용2,6,18,54.7,703,11110,3,-,-
86000,1992,2021, 창신동,창신쌍용1,6,19,79.87,702,11110,8,-,-
56500,2002,2021, 창신동,MID그린(6동),6,19,59.04,601-7,11110,6,-,-
69900,1993,2021, 창신동,창신쌍용2,6,19,64.66,703,11110,7,-,-
67800,1993,2021, 창신동,창신쌍용2,6,19,54.7,703,11110,6,-,-
83000,1999,2021, 창신동,두산,6,24,59.95,232,11110,20,-,-
67000,1993,2021, 창신동,창신쌍용2,6,25,54.7,703,11110,4,-,-
11000,2013,2021, 숭인동,종로유케이201,6,10,12.09,201-11,11110,9,-,-
12900,2013,2021, 숭인동,종로중흥S클래스,6,15,17.811,202-3,11110,14,-,-
11700,2012,2021, 숭인동,삼전솔하임2차,6,16,16.67,296-19,11110,10,-,-
98000,2008,2021, 숭인동,종로센트레빌,6,19,59.92,2-1,11110,2,-,-
10800,2013,2021, 숭인동,종로동광모닝스카이,6,19,15.855,1421-1,11110,11,-,-
108500,2009,2021, 숭인동,종로청계힐스테이트,6,28,84.9478,766,11110,16,-,-
194500,2017,2021, 홍파동,경희궁자이(2단지),6,2,84.614,199,11110,18,-,-
100000,2008,2021, 평창동,르트랑시망,6,25,140.49,102,11110,1,-,-
58400,2004,2021, 부암동,부암스카이뷰,6,19,81.0,218-1,11110,4,-,-
39000,1998,2021, 신영동,대아파크빌,6,21,59.22,254,11110,4,-,-
149000,2000,2021, 무악동,현대,6,6,114.9,82,11110,9,-,-
98950,2000,2021, 무악동,현대,6,19,60.0,82,11110,5,-,-
145000,2008,2021, 무악동,인왕산아이파크,6,23,84.858,60,11110,12,-,-
94490,2000,2021, 무악동,현대,6,25,60.0,82,11110,6,-,-
32000,1999,2021, 통인동,효자,5,13,61.49,5-1,11110,3,-,-
177700,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),5,24,151.81,9,11110,8,-,-
78000,1981,2021, 신문로1가,신문로맨션,5,16,91.53,238,11110,9,-,-
80000,2008,2021, 견지동,대성스카이렉스,5,8,116.03,110,11110,14,-,-
31700,2003,2021, 익선동,현대뜨레비앙,5,3,46.64,55,11110,5,-,-
26100,2003,2021, 익선동,현대뜨레비앙,5,9,36.08,55,11110,8,-,-
29000,2003,2021, 익선동,현대뜨레비앙,5,19,43.98,55,11110,7,-,-
30000,2003,2021, 익선동,현대뜨레비앙,5,24,45.5,55,11110,8,-,-
120000,1995,2021, 명륜2가,아남1,5,10,84.9,4,11110,11,-,-
123000,1995,2021, 명륜2가,아남1,5,14,84.9,4,11110,13,-,-
77500,1993,2021, 창신동,창신쌍용2,5,8,79.87,703,11110,12,-,-
84800,2003,2021, 창신동,창신이수,5,19,84.5,23-816,11110,5,-,-
62900,1993,2021, 창신동,창신쌍용2,5,22,54.7,703,11110,2,-,-
79500,1999,2021, 창신동,두산,5,25,59.95,232,11110,2,-,-
68800,1993,2021, 창신동,창신쌍용2,5,26,64.66,703,11110,12,-,-
64900,1993,2021, 창신동,창신쌍용2,5,28,54.7,703,11110,11,-,-
61000,1993,2021, 창신동,창신쌍용2,5,31,54.7,703,11110,2,-,-
110000,2009,2021, 숭인동,종로청계힐스테이트,5,8,114.7153,766,11110,5,-,-
12000,2013,2021, 숭인동,버넷하임1,5,17,17.96,1421,11110,14,-,-
36000,2000,2021, 숭인동,숭인동 102동 (569-5),5,21,59.74,569-5,11110,6,-,-
240000,2017,2021, 평동,경희궁자이(3단지),5,11,116.938,233,11110,7,-,-
157000,2017,2021, 평동,경희궁자이(3단지),5,14,59.855,233,11110,14,-,-
197000,2017,2021, 평동,경희궁자이(3단지),5,15,84.836,233,11110,16,-,-
160000,2017,2021, 평동,경희궁자이(3단지),5,19,59.471,233,11110,5,-,-
185000,2017,2021, 홍파동,경희궁자이(2단지),5,8,84.614,199,11110,8,-,-
18000,1971,2021, 행촌동,대성아파트,5,5,30.28,41-1,11110,1,-,-
21500,1971,2021, 행촌동,대성아파트,5,28,30.28,41-1,11110,3,-,-
74500,1998,2021, 평창동,삼성,5,23,84.93,596,11110,12,-,-
210000,2009,2021, 평창동,롯데캐슬 로잔,5,28,238.858,108,11110,5,-,-
155000,2004,2021, 평창동,벽산블루밍평창힐스,5,29,210.53,45,11110,4,-,-
142000,2008,2021, 무악동,인왕산아이파크,5,1,84.858,60,11110,11,-,-
126990,2000,2021, 무악동,현대,5,21,84.92,82,11110,14,-,-
115000,2008,2021, 무악동,인왕산아이파크,5,23,59.993,60,11110,6,-,-
129000,2008,2021, 무악동,인왕산아이파크,5,24,84.858,60,11110,1,-,-
29000,1999,2021, 통인동,효자,4,1,61.49,5-1,11110,3,-,-
93500,2005,2021, 옥인동,세종아파트,4,25,111.31,56,11110,5,-,-
134000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),4,10,94.51,9,11110,4,-,-
140000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),4,19,94.51,9,11110,5,-,-
170000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),4,27,151.81,9,11110,3,-,-
170000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),4,28,158.99,9,11110,8,-,-
183000,2003,2021, 내수동,경희궁 파크팰리스,4,2,146.39,95,11110,10,-,-
175000,2003,2021, 내수동,경희궁 파크팰리스,4,7,147.62,95,11110,5,-,-
175000,2003,2021, 내수동,경희궁 파크팰리스,4,7,147.62,95,11110,5,-,-
189000,2004,2021, 내수동,경희궁의아침3단지,4,19,174.55,72,11110,2,-,-
375000,2020,2021, 신문로2가,디팰리스,4,14,158.324,171,11110,14,-,-
124000,2008,2021, 견지동,대성스카이렉스,4,30,149.8,110,11110,7,-,-
85000,1998,2021, 익선동,운현신화타워,4,1,100.77,30-6,11110,6,-,-
23000,2003,2021, 익선동,현대뜨레비앙,4,1,28.1,55,11110,7,-,-
47500,2004,2021, 이화동,송림아마레스아파트,4,15,84.42,9-1,11110,5,-,-
64800,1993,2021, 창신동,창신쌍용2,4,2,64.66,703,11110,2,-,-
69800,1992,2021, 창신동,창신쌍용1,4,20,54.7,702,11110,4,-,-
84000,1993,2021, 창신동,창신쌍용2,4,24,79.87,703,11110,12,-,-
84800,2003,2021, 창신동,창신이수,4,27,84.5,23-816,11110,5,-,-
13000,2014,2021, 숭인동,삼전솔하임4차,4,2,15.09,318-2,11110,14,-,-
20000,1997,2021, 숭인동,도시그린빌라,4,7,44.4,181-121,11110,4,-,-
91900,2009,2021, 숭인동,종로청계힐스테이트,4,17,59.9426,766,11110,4,-,-
12200,2014,2021, 숭인동,삼전솔하임4차,4,21,15.09,318-2,11110,10,-,-
12000,2012,2021, 숭인동,삼전솔하임2차,4,27,16.67,296-19,11110,4,-,-
119500,2004,2021, 숭인동,롯데캐슬천지인,4,27,112.54,76,11110,25,-,-
193000,2017,2021, 평동,경희궁자이(3단지),4,19,84.614,233,11110,19,-,-
175000,2017,2021, 홍파동,경희궁자이(2단지),4,10,84.836,199,11110,8,-,-
180000,2017,2021, 홍파동,경희궁자이(2단지),4,17,84.907,199,11110,18,-,-
172000,2017,2021, 홍파동,경희궁자이(2단지),4,26,84.944,199,11110,2,-,-
172000,2017,2021, 홍파동,경희궁자이(2단지),4,26,84.944,199,11110,2,-,-
88000,2017,2021, 교북동,경희궁자이(4단지),4,26,37.2635,126,11110,14,-,-
175000,2009,2021, 평창동,롯데캐슬 로잔,4,3,215.146,108,11110,9,-,-
75300,1998,2021, 평창동,삼성,4,15,84.93,596,11110,13,-,-
52000,1998,2021, 평창동,삼성,4,17,59.97,596,11110,2,-,-
76500,1996,2021, 평창동,일성빌라트,4,20,84.99,145-5,11110,1,-,-
140000,2004,2021, 평창동,벽산블루밍평창힐스,4,22,150.83,45,11110,3,-,-
54900,1996,2021, 평창동,일성빌라트,4,24,59.82,145-5,11110,5,-,-
75700,1998,2021, 평창동,삼성,4,24,84.93,596,11110,5,-,-
165000,2008,2021, 무악동,인왕산아이파크,4,1,114.931,60,11110,16,-,-
145000,2015,2021, 무악동,인왕산2차아이파크,4,3,112.8144,88,11110,5,-,-
146000,2000,2021, 무악동,현대,4,7,114.9,82,11110,17,-,-
127000,2015,2021, 무악동,인왕산2차아이파크,4,12,84.2395,88,11110,3,-,-
84970,2000,2021, 무악동,현대,4,17,60.0,82,11110,13,-,-
123460,2000,2021, 무악동,현대,4,24,84.92,82,11110,18,-,-
155000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),3,3,158.99,9,11110,7,-,-
134000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),3,6,95.88,9,11110,5,-,-
134500,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),3,6,95.88,9,11110,5,-,-
144000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),3,13,108.07,9,11110,5,-,-
144000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),3,13,108.07,9,11110,5,-,-
184000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),3,20,159.01,9,11110,5,-,-
33000,2003,2021, 익선동,현대뜨레비앙,3,11,48.54,55,11110,6,-,-
26000,2003,2021, 익선동,현대뜨레비앙,3,22,36.08,55,11110,6,-,-
25000,2003,2021, 익선동,현대뜨레비앙,3,24,45.5,55,11110,3,-,-
30000,2003,2021, 익선동,현대뜨레비앙,3,29,46.64,55,11110,4,-,-
78000,2006,2021, 인의동,효성쥬얼리시티,3,5,84.98,48-2,11110,8,-,-
26000,2017,2021, 효제동,포레스트힐시티,3,15,22.0584,65-2,11110,11,-,-
91000,2006,2021, 명륜1가,렉스빌,3,3,107.94,19,11110,7,-,-
48000,2003,2021, 명륜1가,송림아마레스아파트,3,17,53.42,2-12,11110,6,-,-
107500,1995,2021, 명륜2가,아남1,3,17,84.9,4,11110,19,-,-
109250,1995,2021, 명륜2가,아남1,3,31,84.9,4,11110,9,-,-
66000,1993,2021, 창신동,창신쌍용2,3,1,64.66,703,11110,4,-,-
89700,1993,2021, 창신동,창신쌍용2,3,1,106.62,703,11110,11,-,-
68500,1992,2021, 창신동,창신쌍용1,3,13,54.7,702,11110,10,-,-
98500,1992,2021, 창신동,창신쌍용1,3,15,106.62,702,11110,12,-,-
80000,1993,2021, 창신동,창신쌍용2,3,17,79.87,703,11110,7,-,-
63300,1993,2021, 창신동,창신쌍용2,3,20,54.7,703,11110,4,-,-
53000,1999,2021, 창신동,덕산,3,25,59.28,639-50,11110,4,-,-
53000,1999,2021, 창신동,덕산,3,25,59.28,639-50,11110,4,-,-
79500,1999,2021, 창신동,두산,3,26,59.95,232,11110,14,-,-
86500,1992,2021, 창신동,창신쌍용1,3,26,79.87,702,11110,13,-,-
11450,2013,2021, 숭인동,종로동광모닝스카이,3,11,15.855,1421-1,11110,12,-,-
104500,2004,2021, 숭인동,롯데캐슬천지인,3,12,84.95,76,11110,20,-,-
11000,2013,2021, 숭인동,종로유케이201,3,15,12.01,201-11,11110,12,-,-
31000,1996,2021, 숭인동,동문 A,3,23,59.0,545,11110,2,-,-
12250,2014,2021, 숭인동,삼전솔하임4차,3,28,15.09,318-2,11110,12,-,-
151000,2017,2021, 평동,경희궁자이(3단지),3,18,59.755,233,11110,2,-,-
175000,2017,2021, 홍파동,경희궁자이(2단지),3,7,84.934,199,11110,4,-,-
220000,2017,2021, 홍파동,경희궁자이(2단지),3,8,101.991,199,11110,6,-,-
160000,2017,2021, 홍파동,경희궁자이(2단지),3,11,59.855,199,11110,13,-,-
192000,2017,2021, 홍파동,경희궁자이(2단지),3,31,84.836,199,11110,15,-,-
7500,1971,2021, 행촌동,대성아파트,3,11,19.27,41-1,11110,1,-,-
125000,2009,2021, 평창동,엘리시아,3,10,213.07,66-1,11110,2,-,-
65000,2004,2021, 평창동,밀레니엄,3,13,84.41,179-5,11110,3,-,-
50000,1998,2021, 평창동,삼성,3,19,84.98,596,11110,1,-,-
120000,2009,2021, 평창동,엘리시아,3,23,200.19,66-1,11110,1,-,-
51500,1996,2021, 평창동,일성빌라트,3,25,59.82,145-5,11110,2,-,-
48500,2004,2021, 부암동,부암스카이뷰,3,19,81.0,218-1,11110,5,-,-
45000,2002,2021, 신영동,구암하이빌,3,1,84.94,105-22,11110,3,-,-
139800,2008,2021, 무악동,인왕산아이파크,3,6,84.858,60,11110,8,-,-
139800,2008,2021, 무악동,인왕산아이파크,3,6,84.858,60,11110,8,-,-
165000,2008,2021, 무악동,인왕산아이파크,3,6,157.289,60,11110,7,-,-
144950,2000,2021, 무악동,현대,3,11,114.9,82,11110,19,-,-
155000,2008,2021, 사직동,광화문풍림스페이스본(101동~105동),2,6,126.34,9,11110,1,-,-
169000,2004,2021, 내수동,경희궁의아침4단지,2,17,124.17,73,11110,8,-,-
74000,2005,2021, 수송동,로얄팰리스스위트,2,24,83.26,85,11110,13,-,-
32000,2003,2021, 익선동,현대뜨레비앙,2,18,46.64,55,11110,3,-,-
87500,2006,2021, 인의동,효성쥬얼리시티,2,22,84.64,48-2,11110,7,-,-
15000,2011,2021, 충신동,CS타워,2,5,22.17,62-2,11110,13,-,-
66500,1992,2021, 창신동,창신쌍용1,2,1,54.7,702,11110,4,-,-
79400,1992,2021, 창신동,창신쌍용1,2,2,79.87,702,11110,6,-,-
77800,1993,2021, 창신동,창신쌍용2,2,4,79.87,703,11110,14,-,-
68000,1993,2021, 창신동,창신쌍용2,2,6,64.66,703,11110,8,-,-
74800,2003,2021, 창신동,창신이수,2,22,68.06,23-816,11110,6,-,-
64000,1992,2021, 창신동,창신쌍용1,2,28,54.7,702,11110,10,-,-
54000,1992,2021, 창신동,창신쌍용1,2,28,54.7,702,11110,10,-,-
104000,2009,2021, 숭인동,종로청계힐스테이트,2,4,84.9478,766,11110,14,-,-
92400,2009,2021, 숭인동,종로청계힐스테이트,2,6,59.9426,766,11110,6,-,-
98000,2008,2021, 숭인동,종로센트레빌,2,27,59.92,2-1,11110,8,-,-
10300,2012,2021, 숭인동,삼전솔하임2차,2,27,16.67,296-19,11110,4,-,-
36000,2002,2021, 숭인동,동문 (482-0),2,27,60.0,482,11110,-1,-,-
185000,2017,2021, 평동,경희궁자이(3단지),2,15,84.836,233,11110,17,-,-
185000,2017,2021, 홍파동,경희궁자이(2단지),2,24,84.836,199,11110,21,-,-
85500,2017,2021, 교북동,경희궁자이(4단지),2,5,37.2635,126,11110,2,-,-
85900,2017,2021, 교북동,경희궁자이(4단지),2,6,37.2635,126,11110,8,-,-
89500,2017,2021, 교북동,경희궁자이(4단지),2,20,37.2635,126,11110,11,-,-
23000,1971,2021, 행촌동,대성아파트,2,16,45.39,41-1,11110,1,-,-
74000,2004,2021, 평창동,밀레니엄,2,1,108.18,179-5,11110,3,-,-
44000,2005,2021, 평창동,형우럭스빌(33-1),2,9,91.87,33-1,11110,5,-,-
54000,1998,2021, 평창동,삼성,2,9,59.97,596,11110,10,-,-
105000,2001,2021, 평창동,롯데낙천대,2,10,133.34,72,11110,5,-,-
108000,2001,2021, 평창동,롯데낙천대,2,10,110.53,72,11110,8,-,-
50000,2004,2021, 부암동,부암스카이뷰,2,10,81.08,218-1,11110,5,-,-
119950,2000,2021, 무악동,현대,2,2,84.92,82,11110,15,-,-
119960,2000,2021, 무악동,현대,2,13,84.92,82,11110,4,-,-
163000,2019,2021, 무악동,경희궁 롯데캐슬,2,16,84.8792,89,11110,5,-,-
126000,2015,2021, 무악동,인왕산2차아이파크,2,19,84.4541,88,11110,12,-,-
140000,2008,2021, 무악동,인왕산아이파크,2,20,114.931,60,11110,11,-,-
120000,2008,2021, 무악동,인왕산아이파크,2,20,84.858,60,11110,2,-,-
124950,2000,2021, 무악동,현대,2,20,84.92,82,11110,10,-,-
151000,2019,2021, 무악동,경희궁 롯데캐슬,2,25,84.8792,89,11110,1,-,-
120000,2008,2021, 무악동,인왕산아이파크,2,27,84.858,60,11110,2,-,-
130000,2008,2021, 무악동,인왕산아이파크,2,28,84.858,60,11110,13,-,-
144000,2008,2021, 무악동,인왕산아이파크,2,28,84.858,60,11110,13,-,-
130000,2000,2021, 청운동,청운현대,1,14,129.76,56-45,11110,2,-,-
150000,2008,2021, 사직동,광화문풍림스페이스본(106동),1,7,144.52,9-1,11110,6,-,-
175000,2004,2021, 내수동,경희궁의아침2단지,1,15,174.55,71,11110,4,-,-
175000,2004,2021, 내수동,경희궁의아침2단지,1,15,174.55,71,11110,4,-,-
180000,2004,2021, 내수동,경희궁의아침3단지,1,17,123.13,72,11110,13,-,-
180000,2004,2021, 내수동,경희궁의아침3단지,1,17,123.13,72,11110,13,-,-
127000,2008,2021, 견지동,대성스카이렉스,1,25,149.8,110,11110,11,-,-
29800,2003,2021, 익선동,현대뜨레비앙,1,7,45.5,55,11110,5,-,-
29500,2003,2021, 익선동,현대뜨레비앙,1,26,45.5,55,11110,4,-,-
86500,2006,2021, 인의동,효성쥬얼리시티,1,25,84.98,48-2,11110,9,-,-
15000,2011,2021, 충신동,CS타워,1,23,22.17,62-2,11110,7,-,-
63000,2003,2021, 명륜1가,송림아마레스아파트,1,15,84.62,2-12,11110,1,-,-
110000,1995,2021, 명륜2가,아남1,1,12,84.9,4,11110,7,-,-
160000,1999,2021, 명륜2가,아남3,1,12,172.17,237,11110,8,-,-
160000,1999,2021, 명륜2가,아남3,1,22,172.17,237,11110,8,-,-
65000,1993,2021, 창신동,창신쌍용2,1,2,64.66,703,11110,14,-,-
88000,1993,2021, 창신동,창신쌍용2,1,2,115.53,703,11110,2,-,-
67500,1993,2021, 창신동,창신쌍용2,1,16,64.66,703,11110,7,-,-
74000,1993,2021, 창신동,창신쌍용2,1,16,79.87,703,11110,14,-,-
31000,2002,2021, 창신동,일우,1,18,59.3,602,11110,4,-,-
92000,1999,2021, 창신동,두산,1,19,84.9,232,11110,5,-,-
73000,1992,2021, 창신동,창신쌍용1,1,21,79.87,702,11110,2,-,-
64000,1993,2021, 창신동,창신쌍용2,1,23,64.66,703,11110,4,-,-
83500,2003,2021, 창신동,창신이수,1,23,84.5,23-816,11110,9,-,-
102000,1999,2021, 창신동,두산,1,25,84.9,232,11110,6,-,-
32000,1994,2021, 창신동,창림,1,26,59.67,639-20,11110,4,-,-
61500,1993,2021, 창신동,창신쌍용2,1,27,54.7,703,11110,8,-,-
74000,1993,2021, 창신동,창신쌍용2,1,28,79.87,703,11110,7,-,-
63500,1992,2021, 창신동,창신쌍용1,1,29,54.7,702,11110,9,-,-
107750,2004,2021, 숭인동,롯데캐슬천지인,1,4,111.73,76,11110,5,-,-
84000,2009,2021, 숭인동,종로청계힐스테이트,1,11,59.9426,766,11110,8,-,-
10800,2013,2021, 숭인동,종로동광모닝스카이,1,13,15.855,1421-1,11110,11,-,-
81000,2008,2021, 숭인동,종로센트레빌,1,14,59.92,2-1,11110,3,-,-
52000,2014,2021, 숭인동,할리우드파크아파트,1,25,75.25,56-135,11110,4,-,-
53000,2014,2021, 숭인동,할리우드파크아파트,1,30,69.94,56-135,11110,2,-,-
12000,2014,2021, 숭인동,삼전솔하임4차,1,30,15.09,318-2,11110,14,-,-
190000,2017,2021, 평동,경희궁자이(3단지),1,7,84.836,233,11110,7,-,-
175000,2017,2021, 홍파동,경희궁자이(2단지),1,9,84.907,199,11110,4,-,-
175000,2017,2021, 홍파동,경희궁자이(2단지),1,9,84.907,199,11110,4,-,-
114000,2017,2021, 교북동,경희궁자이(4단지),1,16,45.879,126,11110,17,-,-
16000,1971,2021, 행촌동,대성아파트,1,23,30.28,41-1,11110,1,-,-
70000,1998,2021, 평창동,삼성,1,9,84.93,596,11110,6,-,-
123000,2009,2021, 평창동,엘리시아,1,12,236.07,66-1,11110,5,-,-
67900,1996,2021, 평창동,일성빌라트,1,18,84.99,145-5,11110,5,-,-
112400,2000,2021, 무악동,현대,1,2,84.92,82,11110,6,-,-
112400,2000,2021, 무악동,현대,1,2,84.92,82,11110,6,-,-
89970,2000,2021, 무악동,현대,1,9,60.0,82,11110,4,-,-
125000,2015,2021, 무악동,인왕산2차아이파크,1,9,84.0283,88,11110,4,-,-
116000,2000,2021, 무악동,현대,1,14,84.92,82,11110,14,-,-
138000,2019,2021, 무악동,경희궁 롯데캐슬,1,15,59.6737,89,11110,4,-,-
86470,2000,2021, 무악동,현대,1,17,60.0,82,11110,1,-,-
86500,2000,2021, 무악동,현대,1,17,60.0,82,11110,1,-,-
135000,2019,2021, 무악동,경희궁 롯데캐슬,1,22,59.6737,89,11110,13,-,-
120000,2008,2021, 무악동,인왕산아이파크,1,27,114.931,60,11110,9,-,-
109990,2000,2021, 무악동,현대,1,30,84.92,82,11110,9,-,-
