일련번호,단어명,설명세부내용,쉬운용어단어명
16,비버리지(Beveridge)보고서,영국의 경제학자인 W. H.비버리지가 정부의 위촉을 받아 사회보장에 관한 문제를 연구·조사한 보고서,
17,폐질,치료할 수 없어 불구가 되는 병,
18,수습권,사회적 위험(질병.장애.노령.실업)으로 인하여 국가의 보호상태를 요하는 국민이 인간의 존엄에 상응한 인간다운 생활을 영위할 수 있도록 국가에 대해 일정한 내용의 적극적 급부를 요구할 수 있는 권리 ,
19,피용자,노동자,
20,정률제,"어떤 기준을 미리 정하고, 세금을 일정 비율로 부과하는 제도",
21,요율,보험료의 비율,
22,stigma,"낙인, 오명",
23,전상자,전쟁에서 상처나 질병을 입은 사람,
24,퇴장방지의약품,환자 진료에 반드시 필요하나 경제성이 없어 생산이나 수입을 기피하는 약제로 원가의 보전이 필요한 약제,
25,약제 요양급여의 결정신청,의약품을 제조·수입하는 제약회사가 신규로 판매 허가받은 의약품에 대해 건강보험적용여부(요양급여대상여부)를 결정해 줄 것을 신청하는 절차,
26,약제조정신청,"약제 급여목록에 등재된 약제의 상한금액이 불합리하다고 판단되는 경우 금액 인상을 신청하거나, 급여 목록에서 삭제(비급여 전환)를 신청하는 절차",
27,직권조정,보건복지부장관 권한으로 규정에 따라 기 보험 적용이 되고 있는 의약품의 건강보험적용여부(요양급여대상여부) 및 상한금액을 변경 조정하는 것,
28,양도양수,식품의약품안전처로부터 제조(수입)판매 허가를 받은 의약품을 한 회사에서 다른 회사로 그 허가권 및 판매권을 넘겨주는 것,
29,가중평균가,"동일성분내 약품별 청구량 비중을 고려한 보정 상한금액으로써, 동일성분별 의약품의  ∑(상한금액× 청구량)/∑(청구량)로 산출됨",
30,약리기전,생체에 들어간 약물이 일으킨 생리적인 변화의 작동 원리,
31,서방성제제,약을 먹었을 때 약물을 느리게 녹게 하여 느린 흡수로 인해 약효를 오랜 시간 동안 유지되도록 만든 제제,
32,(허가)초과약제,약사법령에 의하여 허가를 받거나 신고한 약제중 「국민건강보험 요양급여의 기준에 관한 규칙)」에 따라 요양급여대상으로 급여목록표에 고시되어 있는 약제의 허가 또는 신고 범위를 벗어나 처방·투여하고자 하는 약제,
33,이성체,약제의 분자식은 동일하나 결합된 구조가 달라 다른 성질을 띠고 있는 물질,
34,DRG,"환자분류체계를 이용하여 질병군별로 입원환자의 진료비를 보상하는 제도이다. 입원기간 동안 제공된 검사, 수술, 투약 등 의료서비스의 종류나 양에 관계없이 어떤 질병의 진료를 위해 입원했었는가에 따라 미리 책정된 일정 금액을 보상한다.     <출처: 건강보험심사평가원 기능과 역할>",질병군별 포괄수가제
35,행위별수가제,"행위별수가제는 환자가 병원에서 진료 받고 내는 진찰료, 검사료, 입원료, 약값 등의 항목 하나하나마다 가격을 더하여 계산하는 방식입니다. 즉 환자가 병원에서 제공받은 의료서비스의 종류와 양이 진료비 금액을 결정합니다. 행위별수가제는 현재 우리나라 건강보험제도의 기본 지불제도로 쓰이고 있습니다.",
36,7개 질병군 포괄수가제,"포괄수가제는 환자가 입원해서 퇴원할 때까지 발생하는 진료에 대하여 질병마다 미리 정해진 금액을 내는 제도입니다. 입원비가 하나로 묶여 있다고 생각하시면 됩니다. 현재는 백내장수술, 맹장수술, 항문수술, 편도수술, 탈장수술, 자궁수술, 제왕절개분만 이렇게 7가지의 수술에 적용되고 있습니다.",
37,신포괄수가제,"행위별수가제와 7개 질병군포괄수가제의 대안적 모델로, 포괄지불방식과 행위별 지불방식을 병행한다. 대부분의 의료서비스를 포괄로 묶고, 진료비 차이를 유발하는 고가 서비스를 행위별수가로 보상하는 제도이다. <출처: 건강보험심사평가원 기능과 역할>",
38,지역거점 공공병원,"의료서비스 취약 지역 거주 주민들을 지원하기 위해 정부가 운영하는 공공병원입니다. 지방의료원, 적십자병원 등이 이에 해당합니다.",
39,환자분류체계,"환자분류체계는 특정 질병을 가지고 있는 사람들을 연령, 성별, 수술 및 합병증 유무 등의 기준에 따라 유사한 그룹으로 묶어 분류하는 것을 말합니다. 이는 질병군별로 치료에 필요한 의료서비스의 양 등을 미리 예측할 수 있게 합니다. 그래서 포괄수가제의 진료비 지급단위로 활용되고 있으며, 다양한 분야에서 병원의 생산성을 측정하고 평가하는 중요한 도구가 됩니다.",
40,진단코딩,포괄수가제는 “환자의 진단명이 무엇인가?”라는 질문의 답에 따라 진료비 지불금액이 결정됩니다. 이러한 진단명을 선정하는 작업을 ‘진단코딩’이라고 합니다.,
41,의원,의사가 주로 외래환자를 대상으로 의료행위를 하는 의료기관<출처: 의료법 제3조>,
42,병원,"의사가 주로 입원환자를 대상으로 의료행위를 하는 의료기관으로서 30개 이상의 병상을 갖추어야 한다.  <출처: 의료법 제3조, 제3조의2>",
43,종합병원,"다음의 조건을 만족하는 의료기관을 말한다.1. 100개 이상의 병상을 갖출 것2. 100병상 이상 300병상 이하인 경우에는 내과·외과·소아청소년과·산부인과 중 3개 진료과목, 영상의학과, 마취통증의학과와 진단검사의학과 또는 병리과를 포함한 7개 이상의 진료과목을 갖추고 각 진료과목마다 전속하는 전문의를 둘 것3. 300병상을 초과하는 경우에는 내과, 외과, 소아청소년과, 산부인과, 영상의학과, 마취통증의학과, 진단검사의학과 또는 병리과, 정신건강의학과 및 치과를 포함한 9개 이상의 진료과목을 갖추고 각 진료과목마다 전속하는 전문의를 둘 것<출처: 의료법 제3조의3>",
44,상급종합병원,다음 각 호의 요건을 갖춘 종합병원 중에서 중증질환에 대하여 난이도가 높은 의료행위를 전문적으로 하여 보건복지부장관이 상급종합병원으로 지정한 병원을 말한다.1. 보건복지부령으로 정하는 20개 이상의 진료과목을 갖추고 각 진료과목마다 전속하는 전문의를 둘 것2. 제77조제1항에 따라 전문의가 되려는 자를 수련시키는 기관일 것3. 보건복지부령으로 정하는 인력·시설·장비 등을 갖출 것4. 질병군별(疾病群別) 환자구성 비율이 보건복지부령으로 정하는 기준에 해당할 것<출처: 의료법 제3조의4>,
45,비용효과적인 함량 사용대상 의약품,"동일 제조업자(수입자)가 제조(수입)한 동일 성분·동일 제형의 고함량 약제가 있는 경우, 1회 투약량에 대하여 저함량 약제와 고함량 약제 중  비용 효과적인 함량의 약제를 사용하도록 하고 있으며 그 대상이 되는 의약품",
46,병용금기,두 개 이상의 약물을 같이 복용했을 때 예상하지 못한 부작용이 나타나거나 치료 효과가 떨어지는 약물을 같이 사용 금지,동시복용금기
47,연령금기,약물의 특성상 소아나 노인에게 복용이 권장되지 않는 약물을 해당 연령에서 사용 금지,
48,임부금기,임신 또는 임신하고 있을 가능성이 있는 환자가 복용하면 태아기형 및 태아독성 등 태아에 대한 위험성이 있는 약물을 임부에게 사용 금지,
49,사용(급여)중지,"해외 또는 국내의 약물 부작용 보고가 있어 안전성 속보(서한) 관련 급여 중지, 품질부적합 등으로 허가 취소된 약물, 생동성 시험 조작 등 관련하여 인정되지 않는 약물을 사용 중지",
50,동일 성분 중복,주성분과 투여경로가 동일한 약물의 투여(복용) 중복 ,
51,효능군 중복,동일한 약물 효능 또는 동일한 약물 계열에 속하는 약물의 투여(복용) 중복,
52,생동성 시험,시험약과 대조약을 인체에 각각 투여해 동일한 효과를 나타내는지의 여부를 통계학적으로 증명하는 실험,
53,성분코드,"약의 유효성분과 단일/복합제 여부, 투여경로, 제형에 따른 분류번호로 구성된 약의 성분을 나타내는 9자리 코드",
54,약품코드,식품의약품안전처에서 의약품에 부여한 일련번호 9자리 약품 코드,
55,요양급여비용,"요양기관이 건강보험의 가입자 또는 피부양자에게 제공한 의료 서비스에 대한 대가로 지불되는 비용으로, 이는 「국민건강보험법」제 41조 제1항에 따라 질병, 부상, 출산 등에 대하여 실시한 진찰·검사, 약제·치료재료의 지급, 처치·수술 및 그 밖의 치료, 예방·재활, 입원, 간호 및 이송에 대한 비용을 말한다.<출처: 건강보험심사평가원의 기능과 역할>",
56,입원,환자가 병을 고치기 위하여 일정한 기간 동안 병원에 들어가 머무는 것※ 출처: 국어사전,
57,외래,환자가 입원하지 아니하고 병원에 다니면서 치료를 받음※ 출처: 국어사전,
58,차상위계층,경제적으로 최하위 계층과 비슷하거나 약간 더 나은 계층. 근로 능력과 약간의 고정 재산이 있어서 소득이 최저 생계비를 초과하므로 기초 생활 수급자로서의 혜택을 받을 수 없는 잠재적 빈곤층이다. <출처: 국립국어원>,
59,의약분업예외환자,"병원에서 처방을 받고 약국에서 약을 받는 일반 환자와 달리 의료기관에서 처방과 약을 함께 받을 수 있는 환자.- 조현병(調絃炳) 또는 조울증 등으로 자신 또는 타인을 해칠 우려가 있는 정신질환자- 「감염병의 예방 및 관리에 관한 법률」에 따른 제1군 감염병환자 - 국가유공자 등 예우 및 지원에 관한 법령에 따른 상이등급 1급부터 3급까지에 해당하는 자, 「5·18민주유공자예우에 관한 법률」에 따른 5·18민주화운동부상자 중 장해등급 1급부터 4급까지에 해당하는 자, 고엽제 후유의증 환자 지원 등에 관한 법령에 따른 고도장애인, 장애인복지 관련 법령에 따른 1급·2급 장애인 및 이에 준하는 장애인, 파킨슨병 환자 또는 한센병 환자- 장기이식을 받은 자에 대하여 이에 관련된 치료를 하거나 후천성 면역결핍증 환자에 대하여 해당 질병을 치료하기 위하여 조제하는 경우<출처: 국민건강보험법 시행령 별표2 및 약사법 제23조 제4항, 연합뉴스 [동네병원 이용 정신질환자 약값 부담 줄어든다] 2017.1.31.>",
60,장루·요루장애인,배변기능이나 배뇨기능의 장애로 인하여 인공항문 또는 정상적인 경로를 통하여서 배설되지 못하여 인공적으로 만든 요도 구멍을 시술하여 일상생활에 상당한 제약을 받는 사람,
61,고가특수의료장비,"전산화단층영상진단(CT), 자기공명영상진단(MRI), 양전자단층촬영(PET)을 의미함",
62,끝수계산,"보험료등과 보험급여에 관한 비용을 계산할 때 「국고금관리법」제47조에 따른 끝수는 계산하지 않는다. <출처: 국민건강보험법 제107조>* 국고금의 끝수 계산 ① 국고금의 수입 또는 지출에서 10원 미만의 끝수가 있을 때에는 그 끝수는 계산하지 아니하고, 전액이 10원 미만일 때에도 그 전액을 계산하지 아니한다. 다만, 대통령령으로 정하는 경우에는 그러하지 아니하다. ② 국세의 과세표준액을 산정할 때 1원 미만의 끝수가 있으면 이를 계산하지 아니한다. 지방자치단체, 그 밖에 대통령령으로 정하는 공공단체와 공공기관의 경우에는 제1항 및 제2항을 준용할 수 있다. <출처: 국고금관리법 제47조>",
63,본인부담,본인이 직접 부담하는 비용,
64,DUR,의약품을 처방하고 조제할 때 함께 먹으면 부작용이 발생할 수 있거나 중복되는 약 등 의약품 안전성과 관련된 정보를 실시간으로 의사와 약사에게 컴퓨터 화면으로 제공하여 부적절한 약물 사용을 사전에 점검하는 서비스를 말한다.<출처: 건강보험심사평가원 기능과 역할>,의약품안전사용서비스
65,CABG,관상동맥우회로이식술 - 협심증으로 인한 흉통을 완화하고 관상동맥 질환으로 인한 사망을 예방하기 위한 수술,
66,순응,적응,
67,추이,"일이 시간에 따라 일어나는 변동현상, 또는 경향",
68,만성질병,장기간 지속되는 질환,
69,일차의료,기본적·일반적 의료서비스 ,
70,DB,데이터베이스(자료),
71,agenda,안건 또는 이슈,
72,NICE,영국의 국립보건임상연구소(National Institute for Health & care Excellence) ,
73,CMS,미국 보건의료관리청(Center for Medicare & Medicaid Service),
74,AHRQ,미국 의료관리품질조사국(Agency for Healthcare Research & Quality),
75,HIRA,건강보험심사평가원(Health Insurance Review & Assessment Service),
76,OECD,경제협력개발기구(Organization for Economic Cooperation & Development),
77,분석서버,연구자가 자료처리실을 이용하여 분석할 원시자료를 보관하는 서버,
78,자료처리실,심사평가원 내에서 연구자가 원자료를 이용하여 연구·분석 처리하도록 마련된 일정한 장소,
79,청구자료,의료기관 등에서 건강보험 비용을 지급받기 위하여 심사평가원에 심사를 요청시 제출한 자료,
80,원시자료,"심사평가원의 Data Warehouse 시스템, 요양기관 관리현황 데이터베이스(DB) 등에서 추출한 자료로서 별도로 가공되지 않은 자료",
81,대체키,"연구자에게 제공되는 원시자료에 성명·주민등록번호 등 개인을 식별할 수 있는 정보(개인정보)가 포함되어 있는 경우, 개인을 식별하는 정보를 대체하여 제공하는 일련의 의미없는 값(숫자, 알파벳 등)",
82,환자단위층화계층,"환자를 각각의 성별과 나이로 일정한 구분(남,녀, 5세 단위)을 두어 분류하는 방식",
83,의사결정기전,보건의료문제에 대한 의사결정과정,
84,삐뚤림,"연구결과 또는 추론을 그릇되게 하는 체계적 오류로 비뚤림은 중재 효과(약, 의료기술 등)를 과소추정하거나 과다추정하게 하는 요소가 될 수 있다.",
85,질 평가,"검증된 척도를 활용하여 오류와 비뚤림, 타당성 등을 평가",
86,체계적 문헌고찰방법론,"특정 연구질문에 대하여 명백하고 포괄적이며 재현성있는 방법론을 적용하여 일차 연구들의 결과를 체계적으로 찾고, 근거를 비평적으로 평가하고 합성하여 결과를 보고하는 연구방법론",
87,백분의 십(100분의 10),의료서비스를 받은 전체 금액 중 지불해야 하는 금액 중 본인이 부담해야 하는 10% 상당의 금액 ,
88,"백분의 백(100분의 100, 100대 100)","건강보험 급여에 해당하는 항목 중 국민건강보험법 시행규칙 제16조 (요양급여비용의 본인부담) 및 동법 시행령 별표 2 제4호에 의거하여, 보건복지부령으로 정하는 항목의 요양급여비용의 100분의 100의 범위에서 본인이 부담하는 것 <출처 : 국민건강보험법 시행규칙 제16조>",
89,일차 의료급여기관 (1차 의료급여기관),"의료급여 수급권자에 대한 진료·조제 또는 투약 등을 담당하는 의료기관을 의미함. 특히, 제1차 의료급여기관은 의료법에 따른 의료기관, 보건소, 보건의료원 및 보건지소, 보건진료소, 약국이 이에 해당됨<출처 : 의료법, 의료급여법, 지역보건법, 농어촌 등 보건의료를 위한 특별조치법, 약사법>",
90,이차 의료급여기관 (2차 의료급여기관),의료급여 수급권자에 대한 진료·조제 또는 투약 등을 담당하는 의료기관 중 입원진료를 담당하는 의료기관으로서 의료법 제33조 4항에 의거 시·도지사가 개설허가를 한 의료기관 <출처 : 의료급여법 제9조>,
91,삼차 의료급여기관 (3차 의료급여기관),의료급여 수급권자에 대한 진료·조제 또는 투약 등을 담당하는 의료기관 중 입원진료를 담당하는 제2차 의료급여기관 중 보건복지부 장관이 지정한 의료기관 <출처 : 의료급여법 제9조>,
92,일차 의료 (1차 의료),"건강을 위하여 가장 먼저 대하는 보건의료를 뜻함. 환자의 가족과 지역사회를 잘 알고 있는 주치의가 환자-의사 관계를 지속하면서, 보건의료자원을 모으고 알맞게 조정하여 주민에게 흔한 건강문제들을 해결하는 분야임<출처 : 최용준 등. 일차의료의 개념과 가치, 그리고 한국의 현실과 과제. 대한의사협회지 2013; 56(10): 856-865>",
93,이차 의료 (2차 의료),"한국에서 1차와 2차 의료에 대한 구분은 명확하지 않으나, 일반적으로 의료(care)라는 것은 질병, 상해과 같은 신체적 정신적 손상의 예방, 진단 또는 치료하는 것을 의미하며, 이때의 2차 의료란 1차 의료 의사로부터 전문의에게로 전원되어 온 환자를 치료하는 것을 의미함<출처 : Wikipedia encyclopedia & Medical dictionary>",
94,삼차 의료 (3차 의료),"사전적 정의에 따르면, 고도로 숙련된 전문의와 발전된 의료기술을 가지고 있는 의료기관이 제공하는 서비스임. 그러나 과거 사용되던 3차 의료기관이라는 명칭이 사라지고, 현재  종합전문요양기관이 사용되고 있어 맥락상 3차 의료는 종합병원급 이상 의료기관에서 제공하는 서비스라고 정의됨<출처 : Medical dictionary & 송건용. 의료전달체계 개선방안 연구. 한국병원경영연구원. 2003.>",
95,간호등급차등제(간호관리료차등제),"병상 수 또는 환자 수 당 확보된 간호사 수에 따라 1~7등급으로 분류하여 그 등급에 따라 입원료에 대해 가산율을 적용하여 입원료를 차등지급하는 제도임. 적정 수준의 간호사 수를 확보하지 못한 의료기관에서 간호서비스의 일부를 보호자나 간병인에게 위임하는 등 입원진료 시 간호서비스의 질이 저하되는 현상을 해소하고 의료기관의 간호서비스 질 향상을 유도하고자 함 <출처: 대한간호협회 웹진, 보건복지부 고시 2018-041호>",
96,(의료급여) 수급권자,"의료급여법에 따라 의료급여를 받을 수 있는 자격을 가진 사람을 의미하며, 제3조에 의해 「국민기초생활 보장법」에 따른 수급자, 「재해구호법」에 따른 이재민 중 보건복지부장관이 인정한 자 등이 대상자가 됨<출처 : 의료급여법 제2조 & 제3조>",(의료급여) 환자
97,경구제,"입을 통하여 몸으로 들어가는 치료목적으로 배합 및 가공한 제제임. 흔히 병원에서는 p.o. med.라고 하는데, per oral medication의 약어로 '입으로 먹는 약'이라는 뜻임. 이러한 의약품은 입을 통해서 들어간 약은 주로 위와 장의 점막을 통해서 흡수된 후 혈액을 타고 전신을 돌면서 약리작용을 나타내고, 약물의 형상에 따라 크게 내용고형제와 내용액제로 분류하고 투여형태에 따라 정제, 캡슐제, 산제, 과립제, 환제, 트로키제 등으로 분류함<출처 : 의학검색엔진(KMLE) & 대한약품공업주식회사>",먹는약
98,공상,공무(公務)로 인하여 입은 상처 <출처 : 국립국어원>,공무중 부상
99,과다본인부담금,요양기관에서 환자에게 받아야 할 금액보다 더 많이 징수한 금액<출처: 국민건강보험법 제48조 제3항>,
100,급성기 진료,"급성기 진료란 만성기 진료 또는 장기요양과는 반대되는 뜻으로, 주로 단기간의 중증 치료, 긴급히 치료를 요하는 임상적 상태를 의미함<출처 : 위키피디아>",
101,급여,건강보험의 적용을 받는 가입자 및 피부양자의 질병·부상에 대한 예방·진단·치료·재활과 출산·사망 및 건강증진에 대하여 「국민건강보험법」의 규정에 따라 실시하는 의료서비스 또는 현금을 의미함<출처 : 김창엽. 건강보장의 이론. 한울. 2009.>,건강보험 적용
102,기왕증,"기왕력이라고도 하는 것으로, 환자가 지금까지 걸렸던 질병이나 외상 등 진찰을 받는 현재에 이르기까지의 병력을 뜻함<출처 : 두산백과>",과거력
103,납차폐특수치료실,방사성옥소를 이용한 개봉선원치료를 위하여 원자력 진흥법령에 의한 시설을 갖춘 요양기관에서 납으로 차폐된 특수한 치료실을 의미함 <출처 : 송건용 등. 병원 입원료 원가산정과 병원경영 합리화 방안 연구. 한국병원경영연구원. 2001),납차단치료실
104,응급대지급금,"환자가 당장 돈이 없어서 진료를 받지 못하는 일을 막기 위해, 국가가 의료비를 대신 지급하고 이후에 환자가 국가에 상환하는 제도를 대불제라하는데, 이러한 비용을 청구하는 것을 일컬음.<출처:조선일보. [보건복지부·헬스조선 공동기획 응급의료 선진화]2011.1.12.>",
105,대체조제,약사가 의사 또는 치과의사가 처방전에 적은 의약품을 성분ㆍ함량 및 제형이 같은 다른 의약품으로 대체하여 조제하는 것<출처 : 약사법 제27조제1항>,
106,동반상병,"일반적으로 보건의료서비스를 이용하고자 하는 환자들에서 주상병 또는 주진단명과는 별개로 공존하고 있는 의학적인 상태를 의미하며, 임상적으로는 특정 주진단과 함께 있을 때 적어도 75%의 환자에서 재원기간을 1일 이상 증가시키는 상태로 정의됨<출처:서현주. CCI를 이용한 폐암수술환자에서의 의료결과 예측에 관한 연구. 고려대학교. 2009. & 강길원. 한국형 진단명기준환자군 분류체계의 개선과 평가. 서울대학교 . 2003.>",동반질환
107,병용금기,두 개 이상의 약물을 같이 투여했을 때 예상하지 못한 부작용이 나타나거나 치료효과의 상실을 초래하므로 함께 사용하지 못하는 것<출처 : 드럭인포(www.druginfo.co.kr) >,동시복용금기
108,병용투약(병용투여),환자에게 두 가지 이상의 약물을 동시에 사용하는 것<출처 : 국립국어원 국어사전 재구성>,동시투약
109,보수월액보험료,"국민건강보험법 제 70조에 의거, 산정한 보수월액에 제73조제1항 또는 제2항에 따른 보험료율을 곱하여 얻은 금액을 의미함. 즉, 보수월액보험료란 직장가입자가 지급받는 보수를 기준으로 매월 부과하는 보험료이며, 보험료 산정방법은 보수월액*보험료율이고 고용주가 50%를 부담함. 이 때 보수월액은 동일사업장에서 당해연도에 지급받은 보수총액을 근무월수로 나눈 금액을 의미함<출처 : 국민건강보험법 제70조 & 건강보험공단, 건강보험제도 이해-보험료>",월급여기준보험료
110,보장성,"일반적으로 의료서비스 중 건강보험에서 보장하는 수준 내지는 정도를 의미함. 광의로는 의료의 확보를 위한 재원조달 측면 외에도 의료공급의 양적 및 질적수준을 담보하기 위한 의료(공급)체계를 포함하는 개념이며, 협의로는‘국가의 구성원으로 하여금 지불능력(ability to pay)에 구애받지 않고 필수의료(necessary service)를 확보할 수 있도록 해주는 것’에 국한함<출처 : 의료보장성/건보급여율의 개념, 산출방법 및 결과. HIRA 정책동향. 2008년 제2권 3호>",건강보험적용정도
111,수가,"수가(酬價)는 한자말로서, '수(酬)'가 일하고 받는 돈을 의미하는 '보수'에서도 쓰이는 데서도 알 수 있듯이, 환자를 치료하고 받는 진료비를 뜻함. 그러나 건강보험도입으로 인해 수가란 보험에서 정한 '공정' 진료비를 의미함<출처 : 시민건강증진연구소. 건강보험의 진료 수가를 다시 생각한다 <서리풀 논평>. 13.6.13.>",
112,"보훈 국비환자 (상이처, 무자격자)","보훈국비환자는 이러한 국가 유공자의 애국정신을 기리어 나라에서 유공자나 그 유족에게 국가에서 진료비를 부담하는 환자를 의미함. 또한 상이(傷痍)는 부상을 당한다는 뜻으로, 군 복무중에 입은 원상병명을 의미함<출처:국가보훈체계개편 T/F실무팀. 국가보훈체계의 문제점 및 개편방향. 2007.&국립국어원> ",
113,보훈위탁진료,"국가보훈대상자가 의료지원을 받으려는 경우에는 보훈병원 또는 위탁병원에 의료지원을 신청해야 하고, 이들 병원에서 이루어지는 진료를 보훈위탁진료라고 한다. 한국보훈복지의료공단은 위탁진료병원의 진료비 등에 대한 심사·조정 및 평가 업무를 심사평가원에 위탁하고 있다. <출처: 국가보훈대상자 의료지원에 관한 규칙 제3조, 한국보훈복지의료공단법 시행령 제17조의2>",
114,부가급여,건강보험 부가급여는 국민건강보헙법 제50조에 의거하여 요양급여 외에 임신·출산 진료비를 의미함. 이러한 부가급여는 제24조에 따라 지정된 요양기관에서 받는 임신과 출산에 관련된 진료에 드는 비용으로 함<출처 : 국민건강보험법 시행령 제23조(부가급여)>,
115,비급여,"국민건강보험법에 의하여 요양급여의 대상에서 제외되는 사항으로 국민건강보험 요양급여의 기준에 관한 규칙 제9조의 비급여대상에 해당되는 경우를 의미하므로 비급여환자 또는 비급여 약제에 대하여는 요양기관(또는 약국)의 관행수가(일반수가)로 본인이 전액 부담해야 함. 일반적으로 의학적 근거, 질병 검사와 치료에 해당되지만 건강보험 재정문제로 공단에서 지불해 주지 않는 항목임<출처 : 국민건강보험 요양급여의 기준에 관한 규칙 제9조 & 한국보험청구심사협회>",건강보험 미적용
116,비보험,현행 건강보험법에 전액본인부담 또는 비급여로 규정되어 있지는 않지만 환자에게 별도로 징수하는 진료내역을 의미함. 보험수가로 정해지지 않은 것에 대하여 병원이 임의로 비급여하여 가격을 매긴 항목이라고 하여 임의비급여라고 쓰이기도 함<출처:보건복지부. 7개 질병군 비급여 자료 요청 2012.&한국보험청구심사협회>,건강보험적용제외
117,산정특례,"진료비 본인부담이 높은 암환자와 희귀난치성질환으로 확진된 경우 의사가 발행한 ‘건강보험 산정특례 등록신청서’를 공단 또는 의료기관에 제출하여 혜택을 받게 됨. 등록일로부터 5년까지 산정특례 혜택을 보게 되며, 대상 상병의 진료시 진료비의 5%~10%만 본인이 부담하는 혜택을 받게 되는 제도<출처 : 국민건강보험공단 QnA>",본인부담특별산정
118,상급병상,"1개의 입원실에 3인 이하가 입원할 수 있는 병상으로, 고시한 요양급여대상인 입원료 외에 추가로 비용을 부담하여야 하는 병상<출처: 국민건강보험 요양급여의 기준에 관한 규칙 제9조 제1항 별표 2 제4호 가목>",
119,상급병실료차액,상급병상을 이용함에 따라 요양급여대상인 입원료 외에 추가로 부담하는 입원실 이용 비용을 말한다.다만 상급병상 중 1인실 병상을 이용하는 경우에는 입원료를 포함한 입원실 이용비용 전액이 비급여에 해당한다.<출처: 국민건강보험 요양급여의 기준에 관한 규칙 제9조 제1항 별표 2 제4호 가목>,
120,상대가치점수,"요양급여에 드는 시간·노력 등 업무량, 인력·시설·장비 등 자원의 양, 요양급여의 위험도 및 요양급여에 따른 사회적 편익 등을 고려하여 산정한 요양급여의 가치를 각 항목 사이에 상대적 점수로 나타낸 것임.<출처 : 국민건강보험법시행령 제21조>",
121,상한액기준보험료 ,요양급여비용 중 가입자 또는 피부양자 본인이 부담하는 금액의 상한(이하 “본인부담상한액”이라 한다)은 지역가입자의 세대별 보험료 부담수준 또는 직장가입자의 개인별 보험료 부담수준(이하 “상한액기준보험료”라 한다)에 따라 그 금액을 달리한다. <출처 : 국민건강보험법시행령 별표3 제19조제2항 관련>,
122,상해요인,"의료급여 수급권자가 자신의 고의 또는 중대한 과실로 인한 범죄행위에 기인하거나 고의로 사고를 발생시켜 의료급여를 받았거나 제3자의 고의 또는 과실로 인하여 의료급여가 필요하게 된 경우를 상해외인(傷害外因)이라고 하며 이러한 경우, 수급권자의 급여를 제한하거나 의료급여를 발생시킨 제3자로부터 의료급여비용을 환수하도록 함<출처 : 보건복지부, 의료급여 상해요인 업무매뉴얼, 2013 >",
123,서방형제제,필요한 만큼의 약물이 보통의 제제보다 장기간에 걸쳐서 방출되도록 설계된 제제임. 이렇듯 약물의 방출을 지연시켜 약효를 지속시키려는 제제로 반복 투여시 일어날 수 있는 부작용을 방지하고 일정시간 또는 일정기간이상 약물의 유효농도범위를 유지할 수 있는 제제임<출처:특허청. 특허 동향:서방형 약물전달시스템 특허동향. 2007. 5. 31.>,효과지속형약물
