no,tilte,link,thumbnail,sizeheight,sizewidth
11,스냅 와이드 데님 팬츠 단추 봄청바지 투웨이버전 청바지 : 슈가베이글,http://shop1.phinf.naver.net/20250303_87/1741013160160Dj9IN_JPEG/75188385112915362_2063752922.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250303_87/1741013160160Dj9IN_JPEG/75188385112915362_2063752922.jpg,640,640
12,YLEMI 여성 긴바지 스판하이웨스트 청바지 버튼 스키니진 26,http://shopping.phinf.naver.net/main_5261626/52616269093.20250122235438.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5261626/52616269093.20250122235438.jpg,800,800
13,Cwadun 봄 성격 청바지 여성 WQ07 다크 S,http://shopping.phinf.naver.net/main_5351307/53513072376.20250313012545.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5351307/53513072376.20250313012545.jpg,800,800
14,남성청바지 트렌디 아이템  일자핏  봄여름 스판 엠보 슬림 HT2 : 해피-다올E,https://shop-phinf.pstatic.net/20240410_194/17127245818958L73f_JPEG/35581019694200699_1458634934.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240410_194/17127245818958L73f_JPEG/35581019694200699_1458634934.jpeg,500,500
15,여성용와이드청바지 청바지 패션의류 여성의류 6 31 5 2342 아이스 슬림형,http://shopping.phinf.naver.net/main_5372356/53723569573.20250323232157.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5372356/53723569573.20250323232157.jpg,800,800
16,남성 세미와이드 밴딩 청바지 사계절 데님팬츠 : 비브레이커스,https://shop-phinf.pstatic.net/20241109_261/1731114916282eHDE6_JPEG/11196888013828884_1283825212.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20241109_261/1731114916282eHDE6_JPEG/11196888013828884_1283825212.jpg,1000,1000
17,벌룬핏청바지 와이드 통바지 밴딩 허벅돼 흑청 중청 : 코니트,http://shop1.phinf.naver.net/20250226_150/1740538714951tLlch_JPEG/51493588854054741_769876934.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250226_150/1740538714951tLlch_JPEG/51493588854054741_769876934.jpg,1000,1000
18,여자 하이웨스트 레그 와이드핏 찢어진 데님 청바지,http://shopping.phinf.naver.net/main_4950752/49507524940.20240730201440.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4950752/49507524940.20240730201440.jpg,600,600
19,바이영 힙스 데미지 와이드 데님 청바지,https://byyoung.co.kr/web/upload/NNEditor/20230110/mobile/7df43f9bff33c165a15c14fcfeb19e9a_1673355277.JPG,https://search.pstatic.net/sunny/?type=b150&src=https://byyoung.co.kr/web/upload/NNEditor/20230110/mobile/7df43f9bff33c165a15c14fcfeb19e9a_1673355277.JPG,640,640
20,여성용 스트레이트핏 연청색 스판청바지,http://shopping.phinf.naver.net/main_5454738/54547385701.20250502203908.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5454738/54547385701.20250502203908.jpg,600,600
21,와이드핏 블루 청바지 3PT010 :상세정보 - HAGO(하고),https://magjay.co.kr/images/j223/pt/J223FPT010_blue/J223FPT010_blue_02.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://magjay.co.kr/images/j223/pt/J223FPT010_blue/J223FPT010_blue_02.jpg,1371,1020
22,B 엣지애 남성 허리신축성 원턱 청바지 MCPF4IN8101,http://shopping.phinf.naver.net/main_5085599/50855997105.20241015195628.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5085599/50855997105.20241015195628.jpg,720,720
23,남자 와이드청바지 빅사이즈 반밴딩 워싱 데님 팬츠 남자청바지 : MOMOCO,http://shop1.phinf.naver.net/20240830_55/1724945666857V2zyp_JPEG/7580684765986318_618319679.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240830_55/1724945666857V2zyp_JPEG/7580684765986318_618319679.jpg,2869,2869
24,여름 팬츠 청바지 남성청바지 남자 얇은 일자 작은 코디 캐주얼 물안개 28,http://shopping.phinf.naver.net/main_5261529/52615295382.20250122200121.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5261529/52615295382.20250122200121.jpg,800,800
25,톤다운 하이웨스트 밑단 옆트임 청바지 : 이너니티,http://shop1.phinf.naver.net/20221014_40/1665741325198iLqmA_JPEG/66877152942338632_1880568747.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20221014_40/1665741325198iLqmA_JPEG/66877152942338632_1880568747.jpg,2000,2000
26,알라이아 알라이아 여성 청바지 N9288463H,http://shopping.phinf.naver.net/main_5330390/53303903763.20250302194410.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5330390/53303903763.20250302194410.jpg,640,640
27,프렙 포켓 롱 세미와이드 청바지,http://shopping.phinf.naver.net/main_5328769/53287694011.1.20250328012841.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5328769/53287694011.1.20250328012841.jpg,960,750
28,여성용와이드청바지 진청 대임팬츠 와이드 패션의류 여성의류 청바지 4 29 2 진한 파란색 싱글,http://shopping.phinf.naver.net/main_5316521/53165210941.20250222230243.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5316521/53165210941.20250222230243.jpg,800,800
29,CALVIN KLEIN 청바지 Blau 13866857NJ,http://shopping.phinf.naver.net/main_5289697/52896971336.3.20250210153037.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5289697/52896971336.3.20250210153037.jpg,2000,1571
30,청바지 데이트 여성 여자 보세 통 와이드,http://shopping.phinf.naver.net/main_5118317/51183173834.1.20241111042302.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5118317/51183173834.1.20241111042302.jpg,800,800
31,뱅뱅 남녀공용밴드테이퍼드스판청바지 뱅뱅 NQF180,http://shopping.phinf.naver.net/main_5082297/50822978979.1.20241018060449.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5082297/50822978979.1.20241018060449.jpg,1000,1000
32,하늘 여성용 기모 일자 청바지 Women s Pants E01 하늘비즈 L I814I621,http://shopping.phinf.naver.net/main_5328835/53288350662.20250301201104.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5328835/53288350662.20250301201104.jpg,800,800
33,남자 와이드청바지 빅사이즈 워싱 데님 남자 청바지 : MOMOCO,http://shop1.phinf.naver.net/20250214_127/1739521721994Ii6rM_JPEG/64696587756652118_798478223.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250214_127/1739521721994Ii6rM_JPEG/64696587756652118_798478223.jpg,2690,2690
34,여자 기본 와이드 일자 데님 팬츠 청바지 : 힙야코,http://shop1.phinf.naver.net/20230831_163/1693453390548Quiwe_JPEG/5106712592744942_1481509399.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20230831_163/1693453390548Quiwe_JPEG/5106712592744942_1481509399.jpg,1000,1000
35,여성 난스판 롱 와이드 청바지 연청 S,http://shopping.phinf.naver.net/main_5472801/54728012284.20250513000202.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5472801/54728012284.20250513000202.jpg,1000,1000
36,여성 청바지 하이웨스트 밴딩 청바지 여성 데님바지 26 다크블루,http://shopping.phinf.naver.net/main_5114465/51144656463.20241031210359.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5114465/51144656463.20241031210359.jpg,1080,1080
37,여름 키작녀청바지 투버튼 올밴딩 스판 배기 청바지 여성 보이핏 중통 데님팬츠 : 살롱드그레이,http://shop1.phinf.naver.net/20220413_21/1649860909223WDmx4_JPEG/50996754918763883_771118089.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20220413_21/1649860909223WDmx4_JPEG/50996754918763883_771118089.jpg,800,800
38,여성청바지 봄가을 하이웨스트 와이드 데님팬츠 패치 일자 청바지 심쿵템,http://shopping.phinf.naver.net/main_5221049/52210491655.20241231233834.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5221049/52210491655.20241231233834.jpg,800,800
39,세미와이드청바지 통일자청바지 연청바지 여름청바지 : 옷빨j,http://shop1.phinf.naver.net/20250510_222/1746884018477DrhNe_JPEG/81016796022805146_633423252.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250510_222/1746884018477DrhNe_JPEG/81016796022805146_633423252.jpg,703,703
40,여성용 밑단 포인트 여유핏 밴딩 팬츠 세미배기 청바지 328 328-2 M,http://shopping.phinf.naver.net/main_5250889/52508890281.20250115194522.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5250889/52508890281.20250115194522.jpg,1000,1000
41,플러스 사이즈 바지 청바지 130 로얄,http://shopping.phinf.naver.net/main_5326979/53269799596.20250301011354.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5326979/53269799596.20250301011354.jpg,1000,1000
42,JEANPIERRE 쟌피엘 스판 남자청바지 중년 일자 캐주얼 자수 청바지 JP자수청바지-422 40,http://shopping.phinf.naver.net/main_5037265/50372655908.20240918175535.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5037265/50372655908.20240918175535.jpg,1000,1000
43,[색감 깡패] 007 센트 루즈핏 여유핏 일자 데님 청바지 (1color) : 구시스,http://shop1.phinf.naver.net/20250223_10/1740316998439uWJ4h_JPEG/24428044293014507_873153667.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250223_10/1740316998439uWJ4h_JPEG/24428044293014507_873153667.jpg,1786,1428
44,빈티지 게스 청바지 남성34 스판 레귤러 데님 7239,http://shopping.phinf.naver.net/main_5179978/51799784180.20241206185436.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5179978/51799784180.20241206185436.jpg,1000,1000
45,1+1 고급 사방 스판 남자 작업복 편한 데님 청바지 남성 캐주얼 : J무역,http://shop1.phinf.naver.net/20241112_224/1731391286263M7qh9_PNG/46907774592556487_1342536927.png,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241112_224/1731391286263M7qh9_PNG/46907774592556487_1342536927.png,1000,1000
46,30대 40대 여성 청바지 웨이스트 봄 말굽 스판 모든 경기 마이크로 플레어 바지 01 파란색 02 27 월,http://shopping.phinf.naver.net/main_5335498/53354988588.20250305002426.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5335498/53354988588.20250305002426.jpg,800,800
47,끌로에 스미스마켓 끌로에 여성용 청바지 여성의류,http://shopping.phinf.naver.net/main_5268910/52689105591.20250128011048.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5268910/52689105591.20250128011048.jpg,600,600
48,EAMT 여자 일자핏 청바지 롤업 슬림 9부 팬츠 배기핏핏 캐주얼 추동 와이드 EUNG4,http://shopping.phinf.naver.net/main_5126469/51264692218.20241107005209.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5126469/51264692218.20241107005209.jpg,600,600
49,슬림핏 청바지 여성 하이웨이스트 9부 일자 데님 팬츠 연청색 28,http://shopping.phinf.naver.net/main_5136463/51364638546.20241113003746.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5136463/51364638546.20241113003746.jpg,790,790
50,[구찌][구찌] SS25 청바지 815642XDC6W [W CONCEPT],https://storage.googleapis.com/mintpim-product-images/public/images/products/4977921/images/fllhucczf0.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://storage.googleapis.com/mintpim-product-images/public/images/products/4977921/images/fllhucczf0.jpg,800,800
51,에스올리버 청바지 여성 323462,http://shopping.phinf.naver.net/main_5285997/52859970544.20250207002921.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5285997/52859970544.20250207002921.jpg,350,350
52,디젤 소년 청바지 KXBHP LIGHT J00981,http://shopping.phinf.naver.net/main_5306248/53062480842.20250218190320.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5306248/53062480842.20250218190320.jpg,600,600
53,여자 와이드데님 연청 청바지 : 마지아슈,http://shop1.phinf.naver.net/20250321_271/1742548336741o9fbO_JPEG/28444167768565460_1271961654.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250321_271/1742548336741o9fbO_JPEG/28444167768565460_1271961654.jpg,1000,1000
54,JEEP SPIRIT 남성 직선 청바지 JPKZ89012,http://shopping.phinf.naver.net/main_5289655/52896553714.2.20250504045908.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5289655/52896553714.2.20250504045908.jpg,800,800
55,찢청연청바지 여성 9부 청바지 : 레몬케잌,https://shop-phinf.pstatic.net/20250509_4/1746769010559yybnx_JPEG/3267220666279873_200117925.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20250509_4/1746769010559yybnx_JPEG/3267220666279873_200117925.jpeg,1000,1000
56,[쫀쫀스판] 남자 밴딩청바지 테이퍼드 여름 통 스판 남성 청바지 : MIJAY,http://shop1.phinf.naver.net/20250418_224/1744969333655uAnWK_JPEG/79102237789494378_1260204789.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250418_224/1744969333655uAnWK_JPEG/79102237789494378_1260204789.jpg,1000,1000
57,남성 긴바지 남성 루즈핏 와이드 스판 데님 청바지28-38 3 color,http://shopping.phinf.naver.net/main_5372339/53723395507.20250323213755.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5372339/53723395507.20250323213755.jpg,600,600
58,(XL) 시리즈 청바지 : 멜스,https://shop-phinf.pstatic.net/20250402_44/17435207557835SdlU_JPEG/29047104639717341_264097209.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20250402_44/17435207557835SdlU_JPEG/29047104639717341_264097209.jpg,1024,1024
59,세미클래식 라이트 럭셔리 t400만 팡팡 터짐 다리가 가늘고 좁아 보이는 일자핏 청바지 여추,http://shopping.phinf.naver.net/main_5278521/52785217519.20250203211721.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5278521/52785217519.20250203211721.jpg,600,600
60,AJMM 2068 남자레귤러핏기본데님청바지,http://shopping.phinf.naver.net/main_5280360/52803602334.20250205012958.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5280360/52803602334.20250205012958.jpg,300,300
61,NUNUHANA 남성용 부드러운 사계절 스판 청바지 DM32 32 62 5 67 5kg,http://shopping.phinf.naver.net/main_5383007/53830073211.20250328204105.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5383007/53830073211.20250328204105.jpg,800,800
62,남성 스판 데님 남자 청바지 팬츠 CL 2918 중청 34,http://shopping.phinf.naver.net/main_5263343/52633433041.20250123221729.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5263343/52633433041.20250123221729.jpg,1000,1000
63,[교환.반품불가]세일 클래식 청바지-6833 : I.MISS,http://shop1.phinf.naver.net/20250110_205/1736477337701Fx4fr_JPEG/17450929475630477_1591162502.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250110_205/1736477337701Fx4fr_JPEG/17450929475630477_1591162502.jpg,4032,3024
64,Myshe 남성겨울청바지 남자청바지 바지 스판 워싱 2 34 블루7,http://shopping.phinf.naver.net/main_5219348/52193487320.20241230223547.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5219348/52193487320.20241230223547.jpg,1000,1000
65,남성 자수 데님팬츠 청바지 플라워 2021,http://shopping.phinf.naver.net/main_5142719/51427191948.20241116223209.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5142719/51427191948.20241116223209.jpg,500,500
66,비커스텀바이 미들워싱 밑단 컷팅 빈티지 남자 청바지 4컬러 BLDO2011,http://shopping.phinf.naver.net/main_5343320/53433209432.20250309010155.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5343320/53433209432.20250309010155.jpg,500,500
67,뱅뱅 뱅뱅 남녀공용 슬림 스판 청바지 NQK104,http://shopping.phinf.naver.net/main_5383019/53830199738.20250328215755.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5383019/53830199738.20250328215755.jpg,500,443
68,해피유통여성용 청바지 봄가을 쫀드스판 밴딩 팬츠CLY 34,http://shopping.phinf.naver.net/main_5270087/52700875942.20250128215315.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5270087/52700875942.20250128215315.jpg,800,800
69,[중고명품아마레스]30발망 슬림 바이커 청바지 : AMARES,http://shop1.phinf.naver.net/20250330_284/1743309688296yE8hb_JPEG/23917771875779775_1086172870.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250330_284/1743309688296yE8hb_JPEG/23917771875779775_1086172870.jpg,1440,1440
70,1 1 1 남성 슬림일자 청바지 스판 가을 캐주얼 슬림 6포켓 팬츠 스판 일자 남자 청바지,http://shopping.phinf.naver.net/main_5449342/54493422758.20250429203404.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5449342/54493422758.20250429203404.jpg,600,600
71,빛나는당신 여성 청바지 구제 워싱 배기 데님 팬츠 : 빛나는당신,http://shop1.phinf.naver.net/20230110_123/1673318060992BFdNj_JPEG/74453949706492813_949749688.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20230110_123/1673318060992BFdNj_JPEG/74453949706492813_949749688.jpg,600,600
72,봄 여름 가을용 남자 청바지 스판 슬림스키니핏 남자바지 슬림일자 핏,http://shopping.phinf.naver.net/main_5384666/53846667590.20250329223526.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5384666/53846667590.20250329223526.jpg,300,300
73,(무배) 산뜻한 아이스컬러 너무 편한 와이드 청바지 : 흥흥 스토어,http://shop1.phinf.naver.net/20250220_180/1740023185412AjJDA_JPEG/70745714258174535_631573102.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250220_180/1740023185412AjJDA_JPEG/70745714258174535_631573102.jpg,1440,1079
74,청바지 여성 밑단 스타일 연청 포인트 캐주얼 데님 W9C1199,http://shopping.phinf.naver.net/main_5234419/52344196812.20250107222954.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5234419/52344196812.20250107222954.jpg,1000,1000
75,흑청바지 통청바지 남자와이드청바지 벌룬데님 : 맨즈무드,http://shop1.phinf.naver.net/20250330_228/17432683212235MNJ4_JPEG/31161817287004693_1201036882.JPG,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250330_228/17432683212235MNJ4_JPEG/31161817287004693_1201036882.JPG,1000,1000
76,남성바지 스판 루즈핏 남자청바지 청바지 데님 코디 WFFODYE,http://shopping.phinf.naver.net/main_5229624/52296247644.20250105181350.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5229624/52296247644.20250105181350.jpg,1000,1000
77,(27) 게스 청바지 BA0703 : 멜스,https://shop-phinf.pstatic.net/20250213_106/1739418073956ayNt9_JPEG/19963265974824272_975169593.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20250213_106/1739418073956ayNt9_JPEG/19963265974824272_975169593.jpg,1024,1024
78,예뻐너 빅 와이드 워싱 청바지,http://shopping.phinf.naver.net/main_5397832/53978326828.3.20250406043203.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5397832/53978326828.3.20250406043203.jpg,1000,1000
79,청바지 남자 2024년 봄가을 슬림 통바지 기모 도톰 홈페이지,http://shopping.phinf.naver.net/main_5232787/52327874756.20250106230421.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5232787/52327874756.20250106230421.jpg,600,600
80,후앙스 히든밴딩 워싱스판 청바지 GZCP-4908,http://shopping.phinf.naver.net/main_5451157/54511577164.20250430220916.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5451157/54511577164.20250430220916.jpg,1000,1000
81,스판 일자 핏 구제 청바지 스트레이트 핏 남성청바지 데님 크롭청바지데님,http://shopping.phinf.naver.net/main_5400275/54002756023.20250406200548.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5400275/54002756023.20250406200548.jpg,600,600
82,남자 테이퍼드 데님팬츠 빅사이즈 밴딩 일자 청바지 : 이브클로젯,http://shop1.phinf.naver.net/20230209_22/1675913315474rP7SP_JPEG/77049211188989737_1554394273.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20230209_22/1675913315474rP7SP_JPEG/77049211188989737_1554394273.jpg,1000,1000
83,Cwadun 여름 루즈핏 스트레이트 청바지 남성 다크 30 EW141,http://shopping.phinf.naver.net/main_5419341/54193412934.20250414215606.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5419341/54193412934.20250414215606.jpg,800,800
84,하이웨스트 스판 플레어 청바지 여성 큐빅청바지 여성 밴딩 청바지 부츠컷,http://shopping.phinf.naver.net/main_5200123/52001239472.20241217230054.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5200123/52001239472.20241217230054.jpg,300,300
85,여성복 하이웨이스트 날씬해 보이는 하트 낙서 프린트 직통 캐주얼 스트리트 청바지 파란색,http://shopping.phinf.naver.net/main_5258164/52581646044.20250120220513.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5258164/52581646044.20250120220513.jpg,800,800
86,연청 진청 흑청 여성 여자 투버튼 앞포켓 하이웨스트 허리 히든 밴딩 스판 와이드 데님 팬츠 하비 바지 청바지 통바지 통청바지 와이드진 블랙진... ,http://shop1.phinf.naver.net/20250306_147/1741252556099RUMN2_JPEG/86616225003997_1317164050.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250306_147/1741252556099RUMN2_JPEG/86616225003997_1317164050.jpg,860,860
87,리던 리던 여성 청바지 N8151970H,http://shopping.phinf.naver.net/main_5328910/53289107847.20250301234006.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5328910/53289107847.20250301234006.jpg,640,640
88,여성용 워싱 히든밴딩 여자 와이드 기모 청바지 중청 CM3W61,http://shopping.phinf.naver.net/main_5267697/52676976343.20250126225718.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5267697/52676976343.20250126225718.jpg,950,950
89,남자 와이드 청바지 흑 밴딩 데님 빅사이즈 세미 AEJZ : 모다로코,http://shop1.phinf.naver.net/20250116_163/1737001953907t3d27_JPEG/71134785036169743_328679235.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250116_163/1737001953907t3d27_JPEG/71134785036169743_328679235.jpg,1250,1000
90,리쿠퍼 리쿠퍼 여성 청바지 LHW-141ID,http://shopping.phinf.naver.net/main_5358334/53583343224.20250316162543.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5358334/53583343224.20250316162543.jpg,300,300
91,남자 가을 배기 자수 롱 남성 데님 일자 팬츠 슬림 워싱 청바지 작은 EY3,http://shopping.phinf.naver.net/main_5310318/53103183454.20250219235347.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5310318/53103183454.20250219235347.jpg,500,500
92,남자와이드핏청바지 남자통청바지 남성워싱청바지 : 키작은 남자 노컴플렉스,http://shop1.phinf.naver.net/20231101_21/1698837192747EhVXd_JPEG/7210871583934703_1196987756.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20231101_21/1698837192747EhVXd_JPEG/7210871583934703_1196987756.jpg,1000,1000
