시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
충남,예산군,374,10,113,398,20
충남,당진시,561,18,151,645,22
충남,계룡시,59,0,17,75,1
전북,전주시,1981,26,579,2247,44
전북,군산시,1183,18,245,1375,137
전북,정읍시,350,12,136,400,23
전북,남원시,261,16,109,229,8
전북,김제시,261,14,133,292,2
전북,완주군,257,21,88,323,6
전북,진안군,97,6,37,100,8
전북,무주군,79,4,35,98,1
전북,장수군,48,8,29,30,1
전북,임실군,75,6,43,72,3
전북,순창군,95,3,33,68,31
전북,고창군,149,14,59,128,1
전북,부안군,168,7,67,171,3
전북,익산시,826,16,249,879,16
전남,목포시,1207,10,179,1613,48
전남,여수시,1305,19,283,1460,75
전남,순천시,1133,18,292,1302,43
전남,나주시,530,17,163,762,16
전남,광양시,632,11,162,751,45
전남,담양군,279,9,73,364,13
전남,곡성군,125,4,44,141,6
전남,구례군,102,4,49,123,18
전남,고흥군,198,13,101,158,8
전남,보성군,183,10,36,228,6
전남,화순군,268,12,68,349,23
전남,장흥군,248,4,73,271,17
전남,강진군,289,8,80,373,70
전남,해남군,263,11,132,238,8
전남,영암군,418,19,97,568,35
전남,무안군,238,13,88,226,5
전남,함평군,180,6,74,164,57
전남,영광군,134,4,55,126,14
전남,장성군,191,8,88,211,7
전남,완도군,146,8,41,148,0
전남,진도군,114,10,52,98,8
전남,신안군,104,9,54,107,7
경북,포항시,2554,23,625,2912,292
경북,경주시,1176,42,473,1104,93
경북,김천시,376,10,170,312,18
경북,안동시,722,17,281,703,160
경북,구미시,1453,22,424,1439,132
경북,영주시,290,10,137,229,25
경북,영천시,461,20,173,488,37
경북,문경시,296,8,116,284,18
경북,상주시,432,18,158,414,35
경북,군위군,49,3,23,38,3
경북,의성군,218,2,119,186,9
경북,청송군,113,6,55,98,22
경북,영양군,62,8,29,53,2
경북,영덕군,237,8,83,289,14
경북,청도군,189,8,77,190,6
경북,고령군,114,6,47,104,0
경북,성주군,224,10,83,235,29
경북,칠곡군,547,13,158,608,44
경북,예천군,137,3,71,113,2
경북,봉화군,121,8,70,102,3
경북,울진군,175,5,91,144,28
경북,울릉군,18,1,6,14,0
경북,경산시,813,12,279,795,22
경남,진주시,662,21,297,526,42
경남,통영시,654,4,206,733,35
경남,김해시,1968,17,679,1943,179
경남,밀양시,455,8,239,389,65
경남,거제시,709,15,303,595,69
경남,의령군,102,1,60,86,5
경남,함안군,271,9,142,249,13
경남,창녕군,227,16,160,138,10
경남,양산시,1304,17,420,1161,176
경남,고성군,192,4,126,138,7
경남,사천시,551,17,221,519,32
경남,남해군,148,6,84,90,37
경남,하동군,118,9,61,85,7
경남,산청군,200,10,81,186,27
경남,함양군,190,14,99,123,65
경남,거창군,222,10,130,141,7
경남,합천군,169,11,96,98,15
경남,창원시(통합),2980,48,1008,2782,213
제주,제주시,2740,25,728,2844,402
제주,서귀포시,1210,20,410,1294,206
대구,중구,771,5,170,797,166
대구,동구,1587,16,431,1707,179
대구,서구,1014,7,272,1042,128
대구,남구,493,2,137,502,32
대구,북구,1865,14,461,1906,247
대구,수성구,1900,10,412,2204,175
대구,달서구,2323,13,527,2477,148
대구,달성군,861,12,235,876,55
대구,군위군,66,7,40,57,5
인천,중구,613,5,151,669,31
인천,동구,118,3,36,106,2
인천,미추홀구,1337,14,281,1376,84
인천,부평구,1201,6,239,1175,94
인천,남동구,1580,15,333,1753,108
인천,서구,1338,17,321,1521,41
인천,연수구,668,9,152,703,23
인천,계양구,609,4,135,738,9
인천,강화군,158,9,73,153,8
인천,옹진군,26,1,11,21,0
광주,동구,485,5,75,569,30
광주,서구,1746,6,269,2359,132
광주,북구,2105,15,335,2667,198
광주,광산구,1902,21,293,2455,94
광주,남구,734,1,122,856,36
대전,동구,1137,7,263,1326,35
대전,중구,1099,7,258,1259,25
대전,서구,2432,24,488,2802,86
대전,유성구,1771,14,348,2183,135
대전,대덕구,959,9,202,1133,86
울산,중구,619,6,210,617,82
울산,남구,1143,8,375,1033,83
울산,동구,436,4,175,336,16
울산,북구,737,7,236,798,73
울산,울주군,729,15,261,691,128
세종,세종시,1166,13,316,1026,382
